#n1   n2   E0(n1,n2)   E1(n1,n2)  ...
0  0  -19.5156  -16.0092  -14.2263  
0  1  -19.6654  -16.4287  -13.6174  
0  2  -19.8617  -17.2649  -12.001  
0  3  -19.9165  -17.6588  -10.8681  
0  4  -19.8617  -17.2649  -12.001  
0  5  -19.6654  -16.4287  -13.6174  
0  6  -19.5156  -16.0092  -14.2263  

1  0  -19.6654  -16.4287  -13.6174  
1  1  -19.6654  -16.4287  -13.6174  
1  2  -19.8206  -17.0748  -12.4399  
1  3  -19.9035  -17.6942  -10.7753  
1  4  -19.9035  -17.6942  -10.7753  
1  5  -19.8206  -17.0748  -12.4399  
1  6  -19.6654  -16.4287  -13.6174  

2  0  -19.8617  -17.2649  -12.001  
2  1  -19.8206  -17.0748  -12.4399  
2  2  -19.8617  -17.2649  -12.001  
2  3  -19.9035  -17.6942  -10.7753  
2  4  -19.902  -17.9274  -9.8255  
2  5  -19.9035  -17.6942  -10.7753  
2  6  -19.8617  -17.2649  -12.001  

3  0  -19.9165  -17.6588  -10.8681  
3  1  -19.9035  -17.6942  -10.7753  
3  2  -19.9035  -17.6942  -10.7753  
3  3  -19.9165  -17.6588  -10.8681  
3  4  -19.9035  -17.6942  -10.7753  
3  5  -19.9035  -17.6942  -10.7753  
3  6  -19.9165  -17.6588  -10.8681  

4  0  -19.8617  -17.2649  -12.001  
4  1  -19.9035  -17.6942  -10.7753  
4  2  -19.902  -17.9274  -9.8255  
4  3  -19.9035  -17.6942  -10.7753  
4  4  -19.8617  -17.2649  -12.001  
4  5  -19.8206  -17.0748  -12.4399  
4  6  -19.8617  -17.2649  -12.001  

5  0  -19.6654  -16.4287  -13.6174  
5  1  -19.8206  -17.0748  -12.4399  
5  2  -19.9035  -17.6942  -10.7753  
5  3  -19.9035  -17.6942  -10.7753  
5  4  -19.8206  -17.0748  -12.4399  
5  5  -19.6654  -16.4287  -13.6174  
5  6  -19.6654  -16.4287  -13.6174  

6  0  -19.5156  -16.0092  -14.2263  
6  1  -19.6654  -16.4287  -13.6174  
6  2  -19.8617  -17.2649  -12.001  
6  3  -19.9165  -17.6588  -10.8681  
6  4  -19.8617  -17.2649  -12.001  
6  5  -19.6654  -16.4287  -13.6174  
6  6  -19.5156  -16.0092  -14.2263  

