#omega  DOS(omega)
581.116   0.0103405
581.126   0.0103683
581.136   0.0103962
581.146   0.0104242
581.156   0.0104524
581.166   0.0104807
581.176   0.0105091
581.186   0.0105377
581.196   0.0105665
581.206   0.0105954
581.216   0.0106244
581.226   0.0106536
581.236   0.0106829
581.246   0.0107124
581.256   0.0107421
581.266   0.0107719
581.276   0.0108018
581.286   0.0108319
581.296   0.0108622
581.306   0.0108926
581.316   0.0109231
581.326   0.0109539
581.336   0.0109848
581.346   0.0110158
581.356   0.011047
581.366   0.0110784
581.376   0.01111
581.386   0.0111417
581.396   0.0111736
581.406   0.0112057
581.416   0.0112379
581.426   0.0112703
581.436   0.0113029
581.446   0.0113356
581.456   0.0113686
581.466   0.0114017
581.476   0.011435
581.486   0.0114684
581.496   0.0115021
581.506   0.0115359
581.516   0.0115699
581.526   0.0116042
581.536   0.0116386
581.546   0.0116732
581.556   0.0117079
581.566   0.0117429
581.576   0.0117781
581.586   0.0118135
581.596   0.011849
581.606   0.0118848
581.616   0.0119208
581.626   0.011957
581.636   0.0119933
581.646   0.0120299
581.656   0.0120667
581.666   0.0121037
581.676   0.0121409
581.686   0.0121784
581.696   0.012216
581.706   0.0122539
581.716   0.012292
581.726   0.0123303
581.736   0.0123688
581.746   0.0124076
581.756   0.0124466
581.766   0.0124858
581.776   0.0125252
581.786   0.0125649
581.796   0.0126048
581.806   0.012645
581.816   0.0126854
581.826   0.012726
581.836   0.0127669
581.846   0.012808
581.856   0.0128494
581.866   0.012891
581.876   0.0129329
581.886   0.012975
581.896   0.0130174
581.906   0.01306
581.916   0.0131029
581.926   0.0131461
581.936   0.0131895
581.946   0.0132332
581.956   0.0132772
581.966   0.0133215
581.976   0.013366
581.986   0.0134108
581.996   0.0134559
582.006   0.0135012
582.016   0.0135469
582.026   0.0135928
582.036   0.0136391
582.046   0.0136856
582.056   0.0137324
582.066   0.0137796
582.076   0.013827
582.086   0.0138747
582.096   0.0139228
582.106   0.0139711
582.116   0.0140198
582.126   0.0140688
582.136   0.0141181
582.146   0.0141677
582.156   0.0142177
582.166   0.014268
582.176   0.0143186
582.186   0.0143696
582.196   0.0144209
582.206   0.0144725
582.216   0.0145245
582.226   0.0145768
582.236   0.0146295
582.246   0.0146826
582.256   0.014736
582.266   0.0147897
582.276   0.0148439
582.286   0.0148984
582.296   0.0149533
582.306   0.0150085
582.316   0.0150642
582.326   0.0151202
582.336   0.0151766
582.346   0.0152334
582.356   0.0152906
582.366   0.0153482
582.376   0.0154063
582.386   0.0154647
582.396   0.0155235
582.406   0.0155828
582.416   0.0156425
582.426   0.0157026
582.436   0.0157631
582.446   0.0158241
582.456   0.0158855
582.466   0.0159474
582.476   0.0160097
582.486   0.0160725
582.496   0.0161357
582.506   0.0161994
582.516   0.0162635
582.526   0.0163282
582.536   0.0163933
582.546   0.0164589
582.556   0.016525
582.566   0.0165916
582.576   0.0166587
582.586   0.0167262
582.596   0.0167944
582.606   0.016863
582.616   0.0169321
582.626   0.0170018
582.636   0.017072
582.646   0.0171427
582.656   0.017214
582.666   0.0172859
582.676   0.0173583
582.686   0.0174313
582.696   0.0175048
582.706   0.0175789
582.716   0.0176536
582.726   0.0177289
582.736   0.0178048
582.746   0.0178813
582.756   0.0179584
582.766   0.0180361
582.776   0.0181145
582.786   0.0181935
582.796   0.0182731
582.806   0.0183534
582.816   0.0184343
582.826   0.0185159
582.836   0.0185981
582.846   0.0186811
582.856   0.0187647
582.866   0.018849
582.876   0.0189341
582.886   0.0190198
582.896   0.0191062
582.906   0.0191934
582.916   0.0192814
582.926   0.01937
582.936   0.0194594
582.946   0.0195496
582.956   0.0196406
582.966   0.0197323
582.976   0.0198249
582.986   0.0199182
582.996   0.0200124
583.006   0.0201074
583.016   0.0202032
583.026   0.0202998
583.036   0.0203973
583.046   0.0204957
583.056   0.020595
583.066   0.0206951
583.076   0.0207961
583.086   0.0208981
583.096   0.0210009
583.106   0.0211048
583.116   0.0212095
583.126   0.0213152
583.136   0.0214219
583.146   0.0215295
583.156   0.0216382
583.166   0.0217479
583.176   0.0218586
583.186   0.0219703
583.196   0.0220831
583.206   0.0221969
583.216   0.0223118
583.226   0.0224278
583.236   0.0225449
583.246   0.0226632
583.256   0.0227826
583.266   0.0229031
583.276   0.0230248
583.286   0.0231477
583.296   0.0232718
583.306   0.0233971
583.316   0.0235236
583.326   0.0236514
583.336   0.0237805
583.346   0.0239108
583.356   0.0240425
583.366   0.0241754
583.376   0.0243098
583.386   0.0244455
583.396   0.0245825
583.406   0.024721
583.416   0.0248609
583.426   0.0250022
583.436   0.025145
583.446   0.0252893
583.456   0.0254351
583.466   0.0255824
583.476   0.0257313
583.486   0.0258817
583.496   0.0260337
583.506   0.0261874
583.516   0.0263427
583.526   0.0264997
583.536   0.0266584
583.546   0.0268187
583.556   0.0269809
583.566   0.0271448
583.576   0.0273105
583.586   0.0274781
583.596   0.0276475
583.606   0.0278188
583.616   0.027992
583.626   0.0281671
583.636   0.0283443
583.646   0.0285234
583.656   0.0287046
583.666   0.0288879
583.676   0.0290732
583.686   0.0292607
583.696   0.0294504
583.706   0.0296423
583.716   0.0298364
583.726   0.0300328
583.736   0.0302316
583.746   0.0304327
583.756   0.0306362
583.766   0.0308421
583.776   0.0310505
583.786   0.0312614
583.796   0.0314749
583.806   0.031691
583.816   0.0319097
583.826   0.0321312
583.836   0.0323553
583.846   0.0325823
583.856   0.0328121
583.866   0.0330448
583.876   0.0332804
583.886   0.033519
583.896   0.0337607
583.906   0.0340054
583.916   0.0342533
583.926   0.0345044
583.936   0.0347588
583.946   0.0350164
583.956   0.0352775
583.966   0.035542
583.976   0.03581
583.986   0.0360816
583.996   0.0363568
584.006   0.0366357
584.016   0.0369184
584.026   0.037205
584.036   0.0374954
584.046   0.0377899
584.056   0.0380884
584.066   0.038391
584.076   0.0386979
584.086   0.0390091
584.096   0.0393246
584.106   0.0396447
584.116   0.0399693
584.126   0.0402985
584.136   0.0406325
584.146   0.0409713
584.156   0.0413151
584.166   0.0416638
584.176   0.0420177
584.186   0.0423769
584.196   0.0427414
584.206   0.0431113
584.216   0.0434868
584.226   0.043868
584.236   0.044255
584.246   0.0446479
584.256   0.0450468
584.266   0.0454519
584.276   0.0458633
584.286   0.0462812
584.296   0.0467056
584.306   0.0471367
584.316   0.0475747
584.326   0.0480197
584.336   0.0484719
584.346   0.0489314
584.356   0.0493983
584.366   0.0498729
584.376   0.0503554
584.386   0.0508458
584.396   0.0513444
584.406   0.0518514
584.416   0.052367
584.426   0.0528913
584.436   0.0534245
584.446   0.053967
584.456   0.0545188
584.466   0.0550802
584.476   0.0556514
584.486   0.0562327
584.496   0.0568244
584.506   0.0574265
584.516   0.0580395
584.526   0.0586636
584.536   0.059299
584.546   0.0599461
584.556   0.0606051
584.566   0.0612763
584.576   0.06196
584.586   0.0626566
584.596   0.0633663
584.606   0.0640896
584.616   0.0648267
584.626   0.0655781
584.636   0.0663441
584.646   0.067125
584.656   0.0679213
584.666   0.0687335
584.676   0.0695618
584.686   0.0704068
584.696   0.0712689
584.706   0.0721486
584.716   0.0730463
584.726   0.0739626
584.736   0.074898
584.746   0.075853
584.756   0.0768282
584.766   0.0778242
584.776   0.0788415
584.786   0.0798808
584.796   0.0809427
584.806   0.0820279
584.816   0.0831371
584.826   0.0842709
584.836   0.0854302
584.846   0.0866156
584.856   0.0878281
584.866   0.0890684
584.876   0.0903373
584.886   0.0916359
584.896   0.0929649
584.906   0.0943254
584.916   0.0957184
584.926   0.0971449
584.936   0.098606
584.946   0.100103
584.956   0.101637
584.966   0.103208
584.976   0.10482
584.986   0.106472
584.996   0.108166
585.006   0.109904
585.016   0.111686
585.026   0.113516
585.036   0.115393
585.046   0.117321
585.056   0.1193
585.066   0.121333
585.076   0.123422
585.086   0.125568
585.096   0.127774
585.106   0.130041
585.116   0.132373
585.126   0.134772
585.136   0.13724
585.146   0.13978
585.156   0.142394
585.166   0.145086
585.176   0.147859
585.186   0.150716
585.196   0.15366
585.206   0.156695
585.216   0.159825
585.226   0.163053
585.236   0.166384
585.246   0.169822
585.256   0.173372
585.266   0.177038
585.276   0.180825
585.286   0.18474
