#k_sublattice  row_val   col_val  value.real  value.imag
0  0  0  2.98023e-08  0
0  0  1  0  0
0  0  2  0  0
0  0  3  0  0
0  0  4  0  0
0  0  5  0  0
0  1  0  0  0
0  1  1  2.98023e-08  0
0  1  2  0  0
0  1  3  0  0
0  1  4  0  0
0  1  5  0  0
0  2  0  0  0
0  2  1  0  0
0  2  2  2.98023e-08  0
0  2  3  0  0
0  2  4  0  0
0  2  5  0  0
0  3  0  0  0
0  3  1  0  0
0  3  2  0  0
0  3  3  2.98023e-08  0
0  3  4  0  0
0  3  5  0  0
0  4  0  0  0
0  4  1  0  0
0  4  2  0  0
0  4  3  0  0
0  4  4  2.98023e-08  0
0  4  5  0  0
0  5  0  0  0
0  5  1  0  0
0  5  2  0  0
0  5  3  0  0
0  5  4  0  0
0  5  5  2.98023e-08  0
1  0  0  0.983486  0
1  0  1  -0.0332499  0.0145967
1  0  2  -0.000418735  -0.122143
1  0  3  0  0
1  0  4  0  0
1  0  5  0  0
1  1  0  -0.0332499  -0.0145967
1  1  1  0.00134151  0
1  1  2  -0.00179908  0.00413701
1  1  3  0  0
1  1  4  0  0
1  1  5  0  0
1  2  0  -0.000418735  0.122143
1  2  1  -0.00179908  -0.00413701
1  2  2  0.0151724  0
1  2  3  0  0
1  2  4  0  0
1  2  5  0  0
1  3  0  0  0
1  3  1  0  0
1  3  2  0  0
1  3  3  2.98023e-08  0
1  3  4  0  0
1  3  5  0  0
1  4  0  0  0
1  4  1  0  0
1  4  2  0  0
1  4  3  0  0
1  4  4  2.98023e-08  0
1  4  5  0  0
1  5  0  0  0
1  5  1  0  0
1  5  2  0  0
1  5  3  0  0
1  5  4  0  0
1  5  5  2.98023e-08  0
2  0  0  0.97227  0
2  0  1  0.0780194  -0.0564064
2  0  2  -0.0904498  -0.0975024
2  0  3  0  0
2  0  4  0  0
2  0  5  0  0
2  1  0  0.0780194  0.0564064
2  1  1  0.00953445  0
2  1  2  -0.00160188  -0.0130734
2  1  3  0  0
2  1  4  0  0
2  1  5  0  0
2  2  0  -0.0904498  0.0975024
2  2  1  -0.00160188  0.0130734
2  2  2  0.0181952  0
2  2  3  0  0
2  2  4  0  0
2  2  5  0  0
2  3  0  0  0
2  3  1  0  0
2  3  2  0  0
2  3  3  2.98023e-08  0
2  3  4  0  0
2  3  5  0  0
2  4  0  0  0
2  4  1  0  0
2  4  2  0  0
2  4  3  0  0
2  4  4  2.98023e-08  0
2  4  5  0  0
2  5  0  0  0
2  5  1  0  0
2  5  2  0  0
2  5  3  0  0
2  5  4  0  0
2  5  5  2.98023e-08  0
3  0  0  0.983486  0
