#nx  ny  tilde_F(nx,ny).real()  tilde_F(nx,ny).imag()  ArgofLog.real()  ArgofLog.imag()
#Extra momentum point for pm3d corners2color c1
0  0  -2.95011172e-16  3.063372476  -0.9969423614  0.07814043818
0  1  -3.103827687e-16  0.6042983478  0.8229009683  0.5681848259
0  2  5.518185315e-17  0.1502505979  0.988733598  0.1496859117
0  3  3.248065917e-17  -0.8292515066  0.6754279078  -0.7374260244
0  4  3.248065917e-17  -0.8292515066  0.6754279078  -0.7374260244

1  0  -7.173723427e-18  0.3662578932  0.9336740182  0.3581240397
1  1  2.817038458e-16  0.08138661735  0.996689937  0.08129679924
1  2  1.012464044e-16  -1.836342411  -0.2624362511  -0.9649493324
1  3  -1.018927629e-16  0.2364772378  0.9721693159  0.2342793659
1  4  -1.018927629e-16  0.2364772378  0.9721693159  0.2342793659

2  0  4.170103766e-17  0.3360002995  0.9440809696  0.3297136984
2  1  -2.349859756e-17  -2.047700668  -0.4590311339  -0.8884201811
2  2  -1.017663618e-16  2.886011624  -0.9675165702  0.2528076074
2  3  -3.773172469e-16  -1.065121837  0.4843976265  -0.8748479522
2  4  -3.773172469e-16  -1.065121837  0.4843976265  -0.8748479522

3  0  5.941718336e-17  -1.766965753  -0.194913665  -0.9808204031
3  1  3.708674896e-17  0.307164436  0.9531947534  0.3023570109
3  2  -1.097299369e-17  -0.4747225581  0.8894195723  -0.4570917025
3  3  -2.167909044e-17  2.521853684  -0.8140300968  0.5808226937
3  4  -2.167909044e-17  2.521853684  -0.8140300968  0.5808226937

4  0  5.941718336e-17  -1.766965753  -0.8140300968  0.5808226937
4  1  -2.349859756e-17  -2.047700668  -0.8140300968  0.5808226937
4  2  1.012464044e-16  -1.836342411  -0.8140300968  0.5808226937
4  3  3.248065917e-17  -0.8292515066  -0.8140300968  0.5808226937
4  4  3.248065917e-17  -0.8292515066  -0.8140300968  0.5808226937

#Chern no*2pi*Iota= -6.40876985e-16  2.532968479
