#nx  ny  tilde_F(nx,ny).real()  tilde_F(nx,ny).imag()  ArgofLog.real()  ArgofLog.imag()
#Extra momentum point for pm3d corners2color c1
0  0  -2.645893195e-16  -0.1827513216  0.9833474017  -0.1817357628
0  1  9.63774388e-17  -0.07736379029  0.9970089143  -0.07728664099
0  2  1.636511553e-16  -0.02965312701  0.9995603782  -0.0296487815
0  3  1.771643485e-16  -0.01273000295  0.9999189746  -0.01272965913
0  4  -1.531354241e-16  -0.002544922494  0.9999967617  -0.002544919747
0  5  7.812062905e-17  0.01756937411  0.9998456625  0.01756847023
0  6  2.088056236e-16  0.1594866216  0.9873089438  0.1588113645
0  7  -4.745173317e-17  0.1120560122  0.9937282918  0.1118216532
0  8  -1.650259975e-16  0.003664683077  0.9999932851  0.003664674874
0  9  -3.486166882e-16  -0.009841099377  0.9999515768  -0.009840940531
0  10  1.344619469e-16  -0.02615146277  0.99965807  -0.02614848205
0  11  3.378708522e-16  -0.03490979951  0.9993907148  -0.03490270922
0  12  -1.181422549e-16  -0.02069668449  0.9997858313  -0.02069520694
0  13  -8.533958422e-17  -0.003606985112  0.9999934948  -0.003606977291
0  14  5.548462678e-17  0.007963994224  0.9999682876  0.007963910037
0  15  1.070746384e-16  0.01566163047  0.9998773592  0.01566099022
0  16  8.055485353e-17  0.02082253766  0.9997832188  0.020821033
0  17  2.413484085e-16  0.02373443056  0.9997183516  0.02373220227
0  18  -3.974704709e-17  0.02428796918  0.9997050618  0.02428558132
0  19  -1.714129454e-16  0.02244652148  0.9997480874  0.0224446366
0  20  -2.633374381e-17  0.01834128049  0.9998318034  0.01834025217
0  21  2.021115146e-16  0.01196461522  0.9999284248  0.01196432976
0  22  -1.843489625e-16  0.002583018292  0.999996664  0.00258301542
0  23  3.139509522e-16  -0.01161067489  0.9999325969  -0.01161041402
0  24  6.987886058e-17  -0.02941727215  0.9995673433  -0.0294130295
0  25  -1.347402481e-16  -0.03345926273  0.9994402911  -0.03345302002
0  26  -2.691387999e-16  -0.01747488356  0.9998473181  -0.01747399419
0  27  -1.871744196e-16  -0.004061015617  0.9999917541  -0.004061004455
0  28  7.799140267e-17  0.02802315484  0.9996073771  0.02801948723
0  29  -4.188117316e-17  0.2017886487  0.9797096606  0.2004220069
0  30  1.752693389e-17  0.05945725899  0.9982329378  0.05942223331
0  31  -2.400583084e-17  0.00424947867  0.999990971  0.00424946588
0  32  -3.474054457e-17  -0.007308369247  0.999973294  -0.007308304188
0  33  1.874970818e-16  -0.01965240229  0.9998068978  -0.0196511373
0  34  1.376262256e-16  -0.04812531664  0.9988422004  -0.04810674205
0  35  4.77662278e-17  -0.1386276014  0.9904065724  -0.1381840126
0  36  4.77662278e-17  -0.1386276014  0.9904065724  -0.1381840126

1  0  -2.017152029e-16  -0.07736379029  0.9970089143  -0.07728664099
1  1  9.967221709e-17  -0.06022369934  0.9981871011  -0.06018730178
1  2  2.922514199e-16  -0.03130168963  0.9995101421  -0.03129657833
1  3  -6.740316364e-18  -0.0151462005  0.9998852985  -0.0151456214
1  4  5.20772627e-17  -0.005131011167  0.9999868364  -0.005130988653
1  5  7.845113499e-17  0.00679210811  0.9999769337  0.006792055887
1  6  -1.079370432e-16  0.06811562334  0.9976810278  0.06806296245
1  7  9.532596493e-18  0.160883837  0.9870860865  0.1601906923
1  8  -3.778786817e-17  0.01890573353  0.9998212919  0.01890460731
1  9  -1.164367131e-16  -0.004748149702  0.9999887276  -0.004748131861
1  10  -4.330248831e-17  -0.02093258731  0.9997809214  -0.02093105866
1  11  8.65956181e-17  -0.03973797528  0.9992105506  -0.03972751769
1  12  -3.385830981e-16  -0.030052579  0.9995484552  -0.0300480555
1  13  -1.729651265e-16  -0.01149826191  0.9999338957  -0.01149800855
1  14  -2.736280272e-16  -0.001014867315  0.999999485  -0.001014867141
1  15  -4.871056083e-16  0.004470271179  0.9999900084  0.00447025629
1  16  -2.642976212e-16  0.007607816249  0.9999710607  0.007607742861
1  17  1.640705136e-16  0.009387481612  0.9999559379  0.009387343735
1  18  -3.462467411e-16  0.01010513576  0.9999489436  0.01010496378
1  19  1.634198433e-17  0.009823949622  0.9999517454  0.009823791604
1  20  9.186685159e-17  0.008529466147  0.9999636243  0.008529362725
1  21  1.443972739e-16  0.006075105973  0.9999815466  0.006075068604
1  22  -1.333147075e-17  0.001895428624  0.9999982037  0.001895427489
1  23  3.22705641e-16  -0.005660123219  0.9999839815  -0.005660092997
1  24  -1.996360976e-16  -0.01990735148  0.9998018552  -0.01990603661
1  25  -3.374859516e-16  -0.03775308799  0.9992874368  -0.03774412041
1  26  -5.708329869e-17  -0.03265364187  0.9994669172  -0.0326478393
1  27  -1.175764282e-16  -0.01209764612  0.9999268244  -0.01209735104
1  28  -1.078269296e-16  0.002271910144  0.9999974192  0.002271908189
1  29  -5.011234554e-17  0.07981971186  0.9968160978  0.07973498115
1  30  -3.245415072e-18  0.1458441692  0.9893835773  0.1453276886
1  31  -1.875501094e-16  0.02471247865  0.9996946622  0.02470996339
1  32  -1.145290951e-16  0.000130218447  0.9999999915  0.0001302184467
1  33  -4.97252184e-17  -0.009566018493  0.999954246  -0.009565872598
1  34  2.819925693e-16  -0.02281797453  0.9997396813  -0.02281599451
1  35  2.077447258e-17  -0.04812531664  0.9988422004  -0.04810674205
1  36  2.077447258e-17  -0.04812531664  0.9988422004  -0.04810674205

2  0  6.025000773e-17  -0.02965312701  0.9995603782  -0.0296487815
2  1  1.52891787e-16  -0.03130168963  0.9995101421  -0.03129657833
2  2  -1.244767222e-16  -0.02327932008  0.9997290489  -0.02327721752
2  3  -2.030875277e-16  -0.01362919088  0.999907124  -0.01362876893
2  4  1.084053233e-16  -0.005330407195  0.9999857934  -0.005330381953
2  5  -7.147115119e-17  0.004071597998  0.9999917111  0.004071586749
2  6  -8.371786202e-17  0.03621794068  0.9993442021  0.03621002312
2  7  9.468991949e-17  0.1299494599  0.9915684442  0.1295840289
2  8  -4.698104587e-17  0.0387273696  0.9992501891  0.03871768972
2  9  5.165333501e-17  0.0004282246434  0.9999999083  0.0004282246303
2  10  -1.585355703e-16  -0.0156054432  0.9998782375  -0.01560480981
2  11  -5.362349475e-17  -0.04415364524  0.9990253862  -0.04413930006
2  12  -2.448597661e-16  -0.04012067018  0.9991952739  -0.04010990755
2  13  -2.098040402e-16  -0.0175174622  0.9998465732  -0.01751656631
2  14  -2.758941077e-17  -0.00730298261  0.9999733333  -0.007302917694
2  15  -2.064979617e-16  -0.003246455799  0.9999947303  -0.003246450096
2  16  -3.277293985e-16  -0.001383783286  0.9999990426  -0.001383782844
2  17  -1.101734734e-16  -0.0004359499752  0.999999905  -0.0004359499614
2  18  -5.311168463e-17  1.616664414e-05  0.9999999999  1.616664413e-05
2  19  4.648026492e-17  0.000104468592  0.9999999945  0.0001044685919
2  20  -9.507480102e-17  -0.0001544070851  0.9999999881  -0.0001544070845
2  21  2.861075178e-17  -0.0008326557821  0.9999996533  -0.0008326556859
2  22  6.740054409e-17  -0.002180263562  0.9999976232  -0.002180261835
2  23  -6.096615634e-17  -0.004947485592  0.9999877612  -0.004947465409
2  24  -2.347887628e-16  -0.0114183039  0.9999348119  -0.01141805579
2  25  -1.135143842e-16  -0.02730539686  0.9996272308  -0.02730200391
2  26  9.647444786e-17  -0.0473669268  0.9988783969  -0.04734921651
2  27  2.731578568e-17  -0.03090259677  0.9995225528  -0.03089767849
2  28  -8.948910025e-17  -0.006973151571  0.9999756877  -0.00697309506
2  29  -6.79074973e-17  0.01136862286  0.9999353779  0.01136837797
2  30  5.47279759e-17  0.09729720171  0.9952703602  0.09714375972
2  31  6.86128593e-17  0.08648218376  0.9962627461  0.0863744216
2  32  1.353607492e-16  0.01565182636  0.9998775127  0.01565118731
2  33  3.135346774e-16  -0.0008031671454  0.9999996775  -0.000803167059
2  34  4.922395169e-16  -0.009566018493  0.999954246  -0.009565872598
2  35  -1.732031097e-16  -0.01965240229  0.9998068978  -0.0196511373
2  36  -1.732031097e-16  -0.01965240229  0.9998068978  -0.0196511373

3  0  -2.155473792e-16  -0.01273000295  0.9999189746  -0.01272965913
3  1  -9.33317065e-17  -0.0151462005  0.9998852985  -0.0151456214
3  2  -1.170301184e-16  -0.01362919088  0.999907124  -0.01362876893
3  3  5.605615137e-17  -0.009434521403  0.9999554952  -0.009434381442
3  4  3.266514097e-16  -0.003772549849  0.9999928839  -0.003772540901
3  5  1.352658449e-16  0.004805587563  0.9999884532  0.004805569066
3  6  1.386146282e-16  0.03101533447  0.9995190631  0.03101036217
3  7  3.906434194e-17  0.1046871902  0.9945252988  0.1044960766
3  8  1.749184546e-16  0.04823508314  0.9988369139  0.04821638118
3  9  -8.461853483e-17  0.005121549321  0.9999868849  0.005121526931
3  10  -4.866256993e-16  -0.009367768451  0.9999561228  -0.00936763144
3  11  7.329978886e-17  -0.04308434671  0.9990720131  -0.04307101865
3  12  6.317170424e-17  -0.04891685508  0.9988038092  -0.04889734889
3  13  1.197702572e-17  -0.0210243289  0.9997789969  -0.02102278006
3  14  6.636231158e-17  -0.01026850957  0.9999472793  -0.01026832911
3  15  1.116502638e-16  -0.006654403494  0.9999778595  -0.006654354384
3  16  3.936515852e-17  -0.005120603089  0.9999868897  -0.005120580712
3  17  -5.525392615e-17  -0.004335171786  0.9999906032  -0.004335158207
3  18  2.117046727e-16  -0.003906490056  0.9999923697  -0.00390648012
3  19  -1.251949859e-16  -0.003719436678  0.9999930829  -0.003719428102
3  20  -1.402425652e-16  -0.00375183635  0.9999929619  -0.003751827548
3  21  4.172844794e-16  -0.004019307851  0.9999919226  -0.004019297029
3  22  -3.720219961e-18  -0.004588871333  0.9999894711  -0.004588855228
3  23  -8.94895068e-17  -0.005683888344  0.9999838468  -0.00568385774
3  24  -2.282817422e-16  -0.008044140795  0.9999676461  -0.008044054042
3  25  1.621307925e-16  -0.01434458218  0.9998971182  -0.01434409024
3  26  -1.358251929e-16  -0.0331620412  0.9994501899  -0.03315596336
3  27  -2.998717551e-16  -0.05431442031  0.9985253345  -0.05428771915
3  28  1.92377159e-16  -0.02468767999  0.9996952747  -0.02468517229
3  29  2.216941703e-16  -0.001908580767  0.9999981787  -0.001908579608
3  30  -1.567625242e-16  0.01893582956  0.9998207225  0.01893469796
3  31  1.248953286e-16  0.08873684142  0.9960654693  0.08862043159
3  32  -1.144128955e-16  0.06940264915  0.9975926027  0.06934694696
3  33  1.825431812e-16  0.01565182636  0.9998775127  0.01565118731
3  34  1.15590279e-16  0.0001302184471  0.9999999915  0.0001302184467
3  35  -9.340304637e-17  -0.007308369247  0.999973294  -0.007308304188
3  36  -9.340304637e-17  -0.007308369247  0.999973294  -0.007308304188

4  0  9.986430092e-17  -0.002544922494  0.9999967617  -0.002544919747
4  1  -2.51915685e-17  -0.005131011167  0.9999868364  -0.005130988653
4  2  -2.296588518e-16  -0.005330407195  0.9999857934  -0.005330381953
4  3  2.435639896e-17  -0.003772549849  0.9999928839  -0.003772540901
4  4  6.925008324e-17  9.237210311e-05  0.9999999957  9.237210298e-05
4  5  4.157963824e-17  0.009683740977  0.9999531129  0.00968358963
4  6  1.574604858e-16  0.04329207242  0.9990630446  0.04327855067
4  7  3.934729824e-17  0.1165641186  0.9932140918  0.1163003346
4  8  -2.948254321e-16  0.04939381977  0.9987803733  0.04937373746
4  9  2.809080955e-16  0.007314597636  0.9999732484  0.007314532411
4  10  -1.9440747e-16  -0.004492689297  0.9999899079  -0.004492674183
4  11  4.21361942e-16  -0.03429188036  0.9994120911  -0.03428515993
4  12  4.416196824e-16  -0.05047152184  0.9987265831  -0.05045009625
4  13  -1.623991811e-16  -0.02123947198  0.9997744509  -0.0212378751
4  14  -1.121524202e-17  -0.01063725718  0.9999434249  -0.01063705657
4  15  1.961326652e-16  -0.007191399805  0.999974142  -0.007191337819
