#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn   Energy_diff
0   0.301532   1.9931542768e+02   4.1295090299e+03  0.0000000000e+00  1.5912844197e+03   -3.0867734765e-04   4.9567431436e-01  5.0432568564e-01   5.7207934496e+03
1   1.5187259703e-01   2.5629289712e+02   8.6024052111e+03  0.0000000000e+00  -6.6168215976e+02   -9.7827786259e-05   5.1341450447e-01  4.8658549553e-01   2.2199296018e+03
2   1.5187259703e-01   2.5629289712e+02   8.6024052111e+03  0.0000000000e+00  -6.6168215976e+02   -9.7827786361e-05   5.1341450447e-01  4.8658549553e-01   5.4569682106e-12
3   1.1279149453e-01   2.6819740580e+02   9.2016601749e+03  0.0000000000e+00  -9.6884548870e+02   -4.5969281634e-05   5.1542974065e-01  4.8457025935e-01   2.9209163480e+02
4   9.3635785478e-02   2.7332629224e+02   9.4452040661e+03  0.0000000000e+00  -1.0954255440e+03   -4.5192280198e-05   5.1036196527e-01  4.8963803473e-01   1.1696383587e+02
5   1.1436914571e-01   2.7499159416e+02   9.5661628117e+03  0.0000000000e+00  -1.1622297234e+03   -3.7500440791e-05   5.1665864714e-01  4.8334135286e-01   5.4154566270e+01
6   1.1133131477e-01   2.7576649305e+02   9.6045630704e+03  0.0000000000e+00  -1.1857070680e+03   -3.4874636869e-05   5.1383981400e-01  4.8616018600e-01   1.4922914101e+01
7   9.4557569673e-02   2.7576649305e+02   9.6083264243e+03  0.0000000000e+00  -1.1905264083e+03   -3.2627689228e-05   5.0895117105e-01  4.9104882895e-01   1.0559863297e+00
8   8.1693002132e-02   2.7482679314e+02   9.6086005704e+03  0.0000000000e+00  -1.1933659161e+03   -3.1599884217e-05   5.0535290081e-01  4.9464709919e-01   2.5653617723e+00
9   7.3252040844e-02   2.7439177372e+02   9.6030561690e+03  0.0000000000e+00  -1.1930597192e+03   -3.0688125711e-05   5.0453187847e-01  4.9546812153e-01   5.2382045151e+00
10   6.6327791477e-02   2.7398196469e+02   9.5927401100e+03  0.0000000000e+00  -1.1902969040e+03   -2.8563283211e-05   5.0733148640e-01  4.9266851360e-01   7.5532438066e+00
11   6.0408099942e-02   2.7320449964e+02   9.5779678715e+03  0.0000000000e+00  -1.1849229750e+03   -2.6184105445e-05   5.1158222064e-01  4.8841777936e-01   9.3983094759e+00
12   5.5314712884e-02   2.7320449964e+02   9.5623830360e+03  0.0000000000e+00  -1.1787403085e+03   -2.3706049150e-05   5.1459189825e-01  4.8540810175e-01   9.4021689703e+00
13   5.0923989542e-02   2.7249735873e+02   9.5479720443e+03  0.0000000000e+00  -1.1728751562e+03   -2.1041618315e-05   5.1694687298e-01  4.8305312702e-01   8.5458395208e+00
14   4.7108029595e-02   2.7249735873e+02   9.5348809468e+03  0.0000000000e+00  -1.1674582461e+03   -1.8863668133e-05   5.1876157234e-01  4.8123842766e-01   7.6741873036e+00
15   4.3826641414e-02   2.7119586547e+02   9.5232654622e+03  0.0000000000e+00  -1.1626307167e+03   -1.7582389571e-05   5.2003760858e-01  4.7996239142e-01   6.7879552188e+00
16   4.0992691554e-02   2.7119586547e+02   9.5129763926e+03  0.0000000000e+00  -1.1583645637e+03   -1.7180151082e-05   5.2090947728e-01  4.7909052272e-01   6.0229166041e+00
17   3.8480545173e-02   2.7119586547e+02   9.5036789295e+03  0.0000000000e+00  -1.1545158774e+03   -1.7485575089e-05   5.2153971015e-01  4.7846028985e-01   5.4487768457e+00
18   3.6167550611e-02   2.7119586547e+02   9.4950826141e+03  0.0000000000e+00  -1.1509503831e+03   -1.8292189320e-05   5.2209346664e-01  4.7790653336e-01   5.0308210161e+00
19   3.3987862616e-02   2.7119586547e+02   9.4870062990e+03  0.0000000000e+00  -1.1475853877e+03   -1.9411578289e-05   5.2270378066e-01  4.7729621934e-01   4.7113197196e+00
20   3.1944772858e-02   2.7008677524e+02   9.4793497258e+03  0.0000000000e+00  -1.1443781987e+03   -2.0707589035e-05   5.2342844298e-01  4.7657155702e-01   4.4493841635e+00
21   3.0071309085e-02   2.7008677524e+02   9.4720499407e+03  0.0000000000e+00  -1.1413029161e+03   -2.2097368982e-05   5.2425548523e-01  4.7574451477e-01   4.2245025600e+00
22   2.3974826472e-02   2.6813819355e+02   9.4556682413e+03  0.0000000000e+00  -1.1371851087e+03   -1.4628932421e-05   5.3219695389e-01  4.6780304611e-01   1.2263892020e+01
23   2.2119473027e-02   2.6813819355e+02   9.4289345399e+03  0.0000000000e+00  -1.1241267770e+03   -2.0129612985e-05   5.2780384690e-01  4.7219615310e-01   1.3675369659e+01
24   2.2370439265e-02   2.6662662246e+02   9.4090791179e+03  0.0000000000e+00  -1.1160529722e+03   -1.9713801717e-05   5.3025719021e-01  4.6974280979e-01   1.1781617226e+01
25   2.0263732057e-02   2.6662662246e+02   9.3851372633e+03  0.0000000000e+00  -1.1049461233e+03   -2.1834134647e-05   5.2957268728e-01  4.7042731272e-01   1.2835005639e+01
26   1.7924287977e-02   2.6548216624e+02   9.3657115182e+03  0.0000000000e+00  -1.0959415042e+03   -2.3856744654e-05   5.2932620637e-01  4.7067379363e-01   1.0421126081e+01
27   1.5364754470e-02   2.6548216624e+02   9.3499577337e+03  0.0000000000e+00  -1.0886252565e+03   -2.5872924532e-05   5.2874380714e-01  4.7125619286e-01   8.4375367197e+00
28   1.3259123171e-02   2.6548216624e+02   9.3376016419e+03  0.0000000000e+00  -1.0829067706e+03   -2.7717380434e-05   5.2821921912e-01  4.7178078088e-01   6.6376060035e+00
29   1.1569091706e-02   2.6548216624e+02   9.3279473499e+03  0.0000000000e+00  -1.0784589047e+03   -2.9412812250e-05   5.2780935351e-01  4.7219064649e-01   5.2064259981e+00
30   1.0135649864e-02   2.6548216624e+02   9.3203393515e+03  0.0000000000e+00  -1.0749699236e+03   -3.0964407683e-05   5.2751993382e-01  4.7248006618e-01   4.1190173415e+00
31   8.8717953695e-03   2.6548216624e+02   9.3142244690e+03  0.0000000000e+00  -1.0721775974e+03   -3.2362520206e-05   5.2731752719e-01  4.7268247281e-01   3.3225563005e+00
32   7.7590380293e-03   2.6548216624e+02   9.3092181177e+03  0.0000000000e+00  -1.0698995626e+03   -3.3617893104e-05   5.2718777963e-01  4.7281222037e-01   2.7283165232e+00
33   6.8061426627e-03   2.6548216624e+02   9.3050731952e+03  0.0000000000e+00  -1.0680187602e+03   -3.4729200429e-05   5.2712415975e-01  4.7287584025e-01   2.2641200221e+00
34   6.0057539630e-03   2.6403459457e+02   9.3016041422e+03  0.0000000000e+00  -1.0664471795e+03   -3.5701274511e-05   5.2711068182e-01  4.7288931818e-01   1.8974723142e+00
35   5.3360556097e-03   2.6403459457e+02   9.2986657705e+03  0.0000000000e+00  -1.0651160416e+03   -3.6559307924e-05   5.2713760688e-01  4.7286239312e-01   1.6072337965e+00
36   4.7734858028e-03   2.6403459457e+02   9.2961418180e+03  0.0000000000e+00  -1.0639706241e+03   -3.7336240526e-05   5.2720250043e-01  4.7279749957e-01   1.3785350427e+00
37   4.2997985263e-03   2.6403459457e+02   9.2939393362e+03  0.0000000000e+00  -1.0629674898e+03   -3.8061333400e-05   5.2730444886e-01  4.7269555114e-01   1.1993474393e+00
38   3.9015954996e-03   2.6403459457e+02   9.2919867488e+03  0.0000000000e+00  -1.0620734337e+03   -3.8756479807e-05   5.2744100418e-01  4.7255899582e-01   1.0585313359e+00
39   3.5683055809e-03   2.6403459457e+02   9.2902313541e+03  0.0000000000e+00  -1.0612642661e+03   -3.9436002708e-05   5.2760672781e-01  4.7239327219e-01   9.4622711282e-01
40   3.2904749004e-03   2.6403459457e+02   9.2886353369e+03  0.0000000000e+00  -1.0605229362e+03   -4.0107816077e-05   5.2779349781e-01  4.7220650219e-01   8.5468725784e-01
41   3.0589298755e-03   2.6403459457e+02   9.2871715087e+03  0.0000000000e+00  -1.0598375102e+03   -4.0775338287e-05   5.2799261263e-01  4.7200738737e-01   7.7840221503e-01
42   2.8649673498e-03   2.6403459457e+02   9.2858199561e+03  0.0000000000e+00  -1.0591995489e+03   -4.1439342271e-05   5.2819695369e-01  4.7180304631e-01   7.1359131199e-01
