#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn
0   0.154496   846.834   6918.25  0  -3472.36   1.74857e-06   0.46778  0.53222
1   0.0910843   584.048   4637.31  0  -2336.52   9.9848e-07   0.462594  0.537406
2   0.0615526   427.787   3486.21  0  -1765.06   6.04182e-07   0.455931  0.544069
3   0.0463362   371.109   2899.23  0  -1475.18   3.85147e-07   0.447982  0.552018
4   0.0363091   327.034   2595.16  0  -1326   2.55044e-07   0.439056  0.560944
5   0.0282355   296.56   2434.63  0  -1247.76   1.73267e-07   0.429488  0.570512
6   0.0214037   296.56   2348.08  0  -1205.84   1.20267e-07   0.419566  0.580434
7   0.0157743   296.56   2300.29  0  -1182.84   8.56263e-08   0.409495  0.590505
8   0.011318   296.56   2273.11  0  -1169.84   6.30417e-08   0.39941  0.60059
9   0.00790767   296.56   2257.08  0  -1162.2   4.83891e-08   0.389391  0.610609
10   0.00536178   296.56   2247.18  0  -1157.5   3.89059e-08   0.379484  0.620516
11   0.00349504   296.56   2240.73  0  -1154.44   3.27462e-08   0.369716  0.630284
12   0.00214501   296.56   2236.29  0  -1152.32   2.86899e-08   0.360099  0.639901
13   0.00118053   296.56   2233.05  0  -1150.77   2.59413e-08   0.350636  0.649364
14   0.000500506   296.56   2230.56  0  -1149.57   2.39886e-08   0.341329  0.658671
15   2.90522e-05   296.56   2228.56  0  -1148.61   2.25076e-08   0.332173  0.667827
16   0.000289986   296.56   2226.9  0  -1147.8   2.12969e-08   0.323167  0.676833
17   0.000497907   296.56   2225.49  0  -1147.11   2.02346e-08   0.314305  0.685695
18   0.00062505   296.56   2224.26  0  -1146.51   1.92497e-08   0.305586  0.694414
19   0.000693743   296.56   2223.16  0  -1145.97   1.83032e-08   0.297007  0.702993
20   0.000720482   296.56   2222.18  0  -1145.5   1.73756e-08   0.288565  0.711435
21   0.000717497   296.56   2221.28  0  -1145.06   1.64596e-08   0.28026  0.71974
22   0.000693887   296.56   2220.46  0  -1144.67   1.55543e-08   0.27209  0.72791
23   0.000656431   296.56   2219.7  0  -1144.31   1.46626e-08   0.264057  0.735943
24   0.000610174   296.56   2219  0  -1143.98   1.37888e-08   0.256161  0.743839
25   0.000558857   296.56   2218.33  0  -1143.67   1.29375e-08   0.248402  0.751598
26   0.00050523   296.56   2217.71  0  -1143.38   1.21129e-08   0.240782  0.759218
27   0.00045129   296.56   2217.12  0  -1143.11   1.13189e-08   0.233302  0.766698
28   0.000398461   296.56   2216.56  0  -1142.86   1.05582e-08   0.225963  0.774037
29   0.000347725   296.56   2216.03  0  -1142.62   9.83284e-09   0.218767  0.781233
30   0.00029973   296.56   2215.52  0  -1142.39   9.1442e-09   0.211715  0.788285
31   0.000254874   296.56   2215.03  0  -1142.18   8.49287e-09   0.204809  0.795191
32   0.000213364   296.56   2214.56  0  -1141.97   7.87891e-09   0.19805  0.80195
33   0.000175269   296.56   2214.1  0  -1141.78   7.30189e-09   0.191439  0.808561
34   0.000140557   296.56   2213.67  0  -1141.59   6.76104e-09   0.184977  0.815023
35   0.000109125   296.56   2213.25  0  -1141.42   6.25525e-09   0.178665  0.821335
36   8.08228e-05   296.56   2212.84  0  -1141.25   5.78325e-09   0.172503  0.827497
37   5.54694e-05   296.56   2212.45  0  -1141.08   5.3436e-09   0.166492  0.833508
38   3.28669e-05   296.56   2212.07  0  -1140.93   4.93472e-09   0.160632  0.839368
