#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn
0   0.301532   199.315   4129.51  0  1591.28   -0.000308677   0.495674  0.504326
1   0.151873   256.293   8602.41  0  -661.682   -9.78278e-05   0.513415  0.486585
2   0.151873   256.293   8602.41  0  -661.682   -9.78278e-05   0.513415  0.486585
3   0.112791   268.197   9201.66  0  -968.845   -4.59693e-05   0.51543  0.48457
4   0.0936358   273.326   9445.2  0  -1095.43   -4.51923e-05   0.510362  0.489638
5   0.114369   274.992   9566.16  0  -1162.23   -3.75004e-05   0.516659  0.483341
6   0.111331   275.766   9604.56  0  -1185.71   -3.48746e-05   0.51384  0.48616
7   0.0945576   275.766   9608.33  0  -1190.53   -3.26277e-05   0.508951  0.491049
8   0.081693   274.827   9608.6  0  -1193.37   -3.15999e-05   0.505353  0.494647
9   0.073252   274.392   9603.06  0  -1193.06   -3.06881e-05   0.504532  0.495468
10   0.0663278   273.982   9592.74  0  -1190.3   -2.85633e-05   0.507331  0.492669
11   0.0604081   273.204   9577.97  0  -1184.92   -2.61841e-05   0.511582  0.488418
12   0.0581159   271.517   9567.78  0  -1187.28   1.26885e-06   0.517939  0.482061
13   0.044983   271.623   9530.69  0  -1168.58   -8.62354e-06   0.520227  0.479773
14   0.0456752   269.433   9509.7  0  -1162.77   2.65138e-07   0.520022  0.479978
15   0.0375313   268.982   9474.28  0  -1146.02   -6.13311e-06   0.514688  0.485312
16   0.0323882   267.513   9444.06  0  -1132.72   -8.53767e-06   0.518681  0.481319
17   0.0274128   266.832   9415.14  0  -1119.28   -1.23457e-05   0.518518  0.481482
18   0.0222199   266.218   9392.72  0  -1108.8   -1.51102e-05   0.517405  0.482595
19   0.0185261   265.667   9375.4  0  -1100.72   -1.75298e-05   0.516913  0.483087
20   0.0155215   265.667   9362.08  0  -1094.55   -1.96486e-05   0.51648  0.48352
21   0.013048   265.667   9351.62  0  -1089.72   -2.1483e-05   0.516075  0.483925
22   0.0110253   265.667   9343.19  0  -1085.86   -2.30757e-05   0.515611  0.484389
23   0.0094663   264.8   9333  0  -1081.25   -2.39223e-05   0.51407  0.48593
24   0.00735776   264.8   9324.04  0  -1077.22   -2.49219e-05   0.513469  0.486531
25   0.00663547   264.8   9316.09  0  -1073.66   -2.57279e-05   0.512336  0.487664
26   0.00536346   264.8   9308.68  0  -1070.32   -2.67347e-05   0.51196  0.48804
