#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn   Energy_diff
0   0.301532   1.9931542768e+02   4.1295090299e+03  0.0000000000e+00  1.5912844197e+03   -3.0867734765e-04   4.9567431436e-01  5.0432568564e-01   5.7207934496e+03
1   1.5187259703e-01   2.5629289712e+02   8.6024052111e+03  0.0000000000e+00  -6.6168215976e+02   -9.7827786259e-05   5.1341450447e-01  4.8658549553e-01   2.2199296018e+03
2   1.2115773945e-01   2.7430037588e+02   9.5630785109e+03  0.0000000000e+00  -1.1605864533e+03   -2.0602593363e-05   5.2475572816e-01  4.7524427184e-01   4.6176900627e+02
3   5.8949256086e-02   2.7586386194e+02   9.6699380657e+03  0.0000000000e+00  -1.2266074863e+03   -4.1718490123e-06   5.0279019623e-01  4.9720980377e-01   4.0838521739e+01
4   9.6038242362e-02   2.7076220127e+02   9.5314912903e+03  0.0000000000e+00  -1.1645210876e+03   1.2422287677e-05   5.2521890544e-01  4.7478109456e-01   7.6360376661e+01
5   1.7101995783e-02   2.6673933453e+02   9.4089787087e+03  0.0000000000e+00  -1.1063636885e+03   7.8804539954e-06   4.9672643510e-01  5.0327356490e-01   6.4355182479e+01
6   4.3093903396e-02   2.6466502591e+02   9.3356898502e+03  0.0000000000e+00  -1.0763671707e+03   3.4984386639e-06   5.3653733746e-01  4.6346266254e-01   4.3292340782e+01
7   3.1205659368e-02   2.6396742532e+02   9.3417725743e+03  0.0000000000e+00  -1.0816686815e+03   1.3931413962e-06   5.0389044421e-01  4.9610955579e-01   7.8121342496e-01
8   1.7068164740e-02   2.6361995858e+02   9.2931039112e+03  0.0000000000e+00  -1.0585446577e+03   -2.0469391612e-07   5.4373724954e-01  4.5626275046e-01   2.5544639390e+01
9   1.2170488186e-02   2.6361995858e+02   9.2920280061e+03  0.0000000000e+00  -1.0588733024e+03   -1.2666568890e-06   5.1135775473e-01  4.8864224527e-01   1.4045497574e+00
10   7.6492740592e-03   2.6361995858e+02   9.2725870645e+03  0.0000000000e+00  -1.0496243236e+03   -2.5687908564e-06   5.4611760991e-01  4.5388239009e-01   1.0191962868e+01
11   6.6536653149e-03   2.6361995858e+02   9.2788905911e+03  0.0000000000e+00  -1.0534125157e+03   -2.6755870823e-06   5.1706157841e-01  4.8293842159e-01   2.5153345306e+00
12   2.1345042798e-03   2.6361995858e+02   9.2648833942e+03  0.0000000000e+00  -1.0463255662e+03   -4.5736476493e-06   5.4774777768e-01  4.5225222232e-01   6.9202473774e+00
13   4.6687758497e-03   2.6361995858e+02   9.2731061413e+03  0.0000000000e+00  -1.0510693814e+03   -3.4382330689e-06   5.2174572977e-01  4.7825427023e-01   3.4789319430e+00
14   5.8423546983e-04   2.6361995858e+02   9.2617988729e+03  0.0000000000e+00  -1.0450760672e+03   -5.8445461412e-06   5.4896323231e-01  4.5103676769e-01   5.3139542336e+00
15   3.8859118797e-03   2.6361995858e+02   9.2699896202e+03  0.0000000000e+00  -1.0498214368e+03   -3.9023546900e-06   5.2566131871e-01  4.7433868129e-01   3.4453776794e+00
16   1.8464562938e-03   2.6361995858e+02   9.2603569809e+03  0.0000000000e+00  -1.0445531436e+03   -6.5648172427e-06   5.4996298987e-01  4.5003701013e-01   4.3643461581e+00
17   3.5001591317e-03   2.6361995858e+02   9.2680063735e+03  0.0000000000e+00  -1.0490287985e+03   -4.1819646315e-06   5.2894800894e-01  4.7105199106e-01   3.1737378084e+00
18   2.3920296907e-03   2.6361995858e+02   9.2595669579e+03  0.0000000000e+00  -1.0443211806e+03   -6.9132429190e-06   5.5087389210e-01  4.4912610790e-01   3.7317977250e+00
19   3.2400605219e-03   2.6361995858e+02   9.2666108527e+03  0.0000000000e+00  -1.0484730833e+03   -4.3354771235e-06   5.3172705530e-01  4.6827294470e-01   2.8919920809e+00
20   2.5874262472e-03   2.6361995858e+02   9.2590619799e+03  0.0000000000e+00  -1.0442174074e+03   -7.0216881158e-06   5.5176350600e-01  4.4823649400e-01   3.2931968395e+00
21   3.0148841838e-03   2.6361995858e+02   9.2655702088e+03  0.0000000000e+00  -1.0480631016e+03   -4.4029812357e-06   5.3410236142e-01  4.6589763858e-01   2.6625346445e+00
22   2.6102655724e-03   2.6361995858e+02   9.2586935950e+03  0.0000000000e+00  -1.0441742699e+03   -6.9771067983e-06   5.5266004181e-01  4.4733995819e-01   2.9877820269e+00
23   2.7983063865e-03   2.6361995858e+02   9.2647677662e+03  0.0000000000e+00  -1.0477534327e+03   -4.4140312144e-06   5.3615760449e-01  4.6384239551e-01   2.4950082706e+00
24   2.5484716231e-03   2.6361995858e+02   9.2583965000e+03  0.0000000000e+00  -1.0441610562e+03   -6.8351001152e-06   5.5356827751e-01  4.4643172249e-01   2.7788895864e+00
25   2.5864550428e-03   2.6361995858e+02   9.2641370907e+03  0.0000000000e+00  -1.0475180717e+03   -4.3897915472e-06   5.3795776216e-01  4.6204223784e-01   2.3835751739e+00
26   2.4468310463e-03   2.6361995858e+02   9.2581397596e+03  0.0000000000e+00  -1.0441628469e+03   -6.6311796385e-06   5.5448030139e-01  4.4551969861e-01   2.6421062873e+00
27   2.3823835326e-03   2.6361995858e+02   9.2636362509e+03  0.0000000000e+00  -1.0473403479e+03   -4.3447104249e-06   5.3955226386e-01  4.6044773614e-01   2.3189902892e+00
28   2.3284942002e-03   2.6361995858e+02   9.2579079359e+03  0.0000000000e+00  -1.0441721874e+03   -6.3883388745e-06   5.5538230798e-01  4.4461769202e-01   2.5601545825e+00
29   2.1903031979e-03   2.6361995858e+02   9.2632363889e+03  0.0000000000e+00  -1.0472084997e+03   -4.2882115936e-06   5.4097815455e-01  4.5902184545e-01   2.2921408221e+00
30   2.2054278210e-03   2.6361995858e+02   9.2576932022e+03  0.0000000000e+00  -1.0441854305e+03   -6.1218254007e-06   5.5625869230e-01  4.4374130770e-01   2.5201175820e+00
31   2.0135750928e-03   2.6361995858e+02   9.2629161894e+03  0.0000000000e+00  -1.0471135644e+03   -4.2262086772e-06   5.4226278171e-01  4.5773721829e-01   2.2948533072e+00
32   2.0838472293e-03   2.6361995858e+02   9.2574917264e+03  0.0000000000e+00  -1.0442009424e+03   -5.8421014532e-06   5.5709438312e-01  4.4290561688e-01   2.5118409937e+00
33   1.8542349543e-03   2.6361995858e+02   9.2626590631e+03  0.0000000000e+00  -1.0470483349e+03   -4.1623144557e-06   5.4342597130e-01  4.5657402870e-01   2.3199441740e+00
34   1.9671299181e-03   2.6361995858e+02   9.2573018347e+03  0.0000000000e+00  -1.0442181384e+03   -5.5566908198e-06   5.5787607023e-01  4.4212392977e-01   2.5270318459e+00
35   1.7131273312e-03   2.6361995858e+02   9.2624516526e+03  0.0000000000e+00  -1.0470068294e+03   -4.0987309342e-06   5.4448177929e-01  4.5551822071e-01   2.3611268529e+00
36   1.8573438269e-03   2.6361995858e+02   9.2571229919e+03  0.0000000000e+00  -1.0442369347e+03   -5.2713417759e-06   5.5859275715e-01  4.4140724285e-01   2.5587659897e+00
37   1.5902206462e-03   2.6361995858e+02   9.2622829950e+03  0.0000000000e+00  -1.0469840103e+03   -4.0368648707e-06   5.4543991061e-01  4.5456008939e-01   2.4129275096e+00
38   1.7559891763e-03   2.6361995858e+02   9.2569552024e+03  0.0000000000e+00  -1.0442574352e+03   -4.9907576319e-06   5.5923591270e-01  4.4076408730e-01   2.6012175666e+00
39   1.4849108198e-03   2.6361995858e+02   9.2621440067e+03  0.0000000000e+00  -1.0469756166e+03   -3.9777311250e-06   5.4630687632e-01  4.5369312368e-01   2.4706230203e+00
40   1.6643061263e-03   2.6361995858e+02   9.2567986586e+03  0.0000000000e+00  -1.0442797635e+03   -4.7190434102e-06   5.5979939186e-01  4.4020060814e-01   2.6494950755e+00
41   1.3962482335e-03   2.6361995858e+02   9.2620271258e+03  0.0000000000e+00  -1.0469780462e+03   -3.9222027907e-06   5.4708693913e-01  4.5291306087e-01   2.5301844862e+00
42   1.5833610283e-03   2.6219209124e+02   9.2566535460e+03  0.0000000000e+00  -1.0443039852e+03   -4.4599610986e-06   5.6027923304e-01  4.3972076696e-01   2.6995188353e+00
