#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn   Energy_diff
0   0.371321   6.2698427473e+02   1.0112691512e+04  0.0000000000e+00  -2.9168018365e+03   -2.2223684086e-09   9.9178025614e-01  1.0082197439e+00   7.1958896751e+03
1   2.1734599471e-01   6.2698427473e+02   1.0398068817e+04  0.0000000000e+00  -3.7372791105e+03   -8.8729315539e-10   9.9513224092e-01  1.0048677591e+00   5.3509996814e+02
2   2.2603272395e-01   3.8423260010e+02   6.4609938237e+03  0.0000000000e+00  -1.0507075602e+03   -8.1906207158e-12   9.9103048860e-01  1.0089695114e+00   1.2505034435e+03
3   1.7621060685e-01   5.7722626286e+02   9.4949801740e+03  0.0000000000e+00  -3.0602979837e+03   -3.4785172568e-10   9.9752157797e-01  1.0024784220e+00   1.0243959268e+03
4   1.4108369317e-01   6.1834610451e+02   1.0194484970e+04  0.0000000000e+00  -3.6923878010e+03   -3.7315059416e-10   9.9987811779e-01  1.0001218822e+00   6.7414978311e+01
5   1.1673517700e-01   6.3884981863e+02   1.0427833537e+04  0.0000000000e+00  -3.9286250561e+03   -3.2657207382e-10   1.0011020052e+00  9.9889799479e-01   2.8886875674e+00
6   9.8853323839e-02   6.3884981863e+02   1.0521424844e+04  0.0000000000e+00  -4.0315260094e+03   -2.7593779890e-10   1.0018807903e+00  9.9811920967e-01   9.3096466828e+00
7   8.5197387502e-02   6.3884981863e+02   1.0564566777e+04  0.0000000000e+00  -4.0827053415e+03   -2.3377285824e-10   1.0024278789e+00  9.9757212115e-01   8.0373984412e+00
8   7.4485657724e-02   6.3884981863e+02   1.0587206707e+04  0.0000000000e+00  -4.1115087771e+03   -2.0056841200e-10   1.0028381449e+00  9.9716185514e-01   6.1635056758e+00
9   6.5915706445e-02   6.3884981863e+02   1.0600669072e+04  0.0000000000e+00  -4.1296318151e+03   -1.7461472482e-10   1.0031633696e+00  9.9683663039e-01   4.6606731370e+00
10   5.8949344894e-02   6.3884981863e+02   1.0609617127e+04  0.0000000000e+00  -4.1421346737e+03   -1.5413699529e-10   1.0034346896e+00  9.9656531041e-01   3.5548042847e+00
11   5.3207283783e-02   6.3884981863e+02   1.0616114338e+04  0.0000000000e+00  -4.1513793944e+03   -1.3776278522e-10   1.0036716696e+00  9.9632833044e-01   2.7475096503e+00
12   4.1602866081e-02   6.3884981863e+02   1.0631571564e+04  0.0000000000e+00  -4.1716286442e+03   -9.6032496038e-11   1.0033417223e+00  9.9665827770e-01   4.7920233176e+00
13   3.7769158545e-02   6.1824892147e+02   1.0440912263e+04  0.0000000000e+00  -3.9887837092e+03   -4.4047742785e-11   1.0023627554e+00  9.9763724459e-01   7.8143657556e+00
14   3.0674204638e-02   6.1824892147e+02   1.0506702200e+04  0.0000000000e+00  -4.0540458901e+03   -3.7734388910e-11   1.0020156376e+00  9.9798436239e-01   5.2775569438e-01
15   2.4746860768e-02   6.1824892147e+02   1.0571212322e+04  0.0000000000e+00  -4.1180901523e+03   -3.4734103513e-11   1.0018925654e+00  9.9810743459e-01   4.6585966396e-01
16   2.0197383929e-02   6.1824892147e+02   1.0611755339e+04  0.0000000000e+00  -4.1586667052e+03   -3.1217382136e-11   1.0018874512e+00  9.9811254877e-01   3.3535255786e-02
17   1.6701375922e-02   6.1824892147e+02   1.0634501364e+04  0.0000000000e+00  -4.1816325341e+03   -2.7484102713e-11   1.0019554699e+00  9.9804453010e-01   2.1980457043e-01
18   1.3960626002e-02   6.3951680064e+02   1.0646726787e+04  0.0000000000e+00  -4.1941123605e+03   -2.3998418730e-11   1.0020717286e+00  9.9792827143e-01   2.5440320936e-01
19   1.1766246012e-02   6.3951680064e+02   1.0653218106e+04  0.0000000000e+00  -4.2008451045e+03   -2.0983079727e-11   1.0022201762e+00  9.9777982378e-01   2.4142477227e-01
20   9.9782131856e-03   6.3951680064e+02   1.0656699635e+04  0.0000000000e+00  -4.2045446583e+03   -1.8450751532e-11   1.0023897337e+00  9.9761026633e-01   2.1802521210e-01
21   8.5006762902e-03   6.3951680064e+02   1.0658629296e+04  0.0000000000e+00  -4.2066693135e+03   -1.6383563727e-11   1.0025725789e+00  9.9742742107e-01   1.9499432844e-01
22   7.2652219977e-03   6.3951680064e+02   1.0659762668e+04  0.0000000000e+00  -4.2079775010e+03   -1.4691520945e-11   1.0027631975e+00  9.9723680250e-01   1.7481541719e-01
23   5.8378386639e-03   6.3951680064e+02   1.0660968815e+04  0.0000000000e+00  -4.2093635109e+03   -1.2020855668e-11   1.0028920675e+00  9.9710793246e-01   1.7986289678e-01
24   4.7066782757e-03   6.3951680064e+02   1.0651923117e+04  0.0000000000e+00  -4.2005265216e+03   -8.3969536167e-12   1.0028953758e+00  9.9710462417e-01   2.0870873421e-01
25   3.5646342589e-03   6.3951680064e+02   1.0651158159e+04  0.0000000000e+00  -4.1999244212e+03   -6.3893524499e-12   1.0028562692e+00  9.9714373082e-01   1.6285710740e-01
26   2.5147357492e-03   6.3951680064e+02   1.0654059357e+04  0.0000000000e+00  -4.2029578736e+03   -5.2587860742e-12   1.0028034376e+00  9.9719656237e-01   1.3225418613e-01
27   1.6031750340e-03   6.3951680064e+02   1.0657403968e+04  0.0000000000e+00  -4.2064207441e+03   -4.5211237480e-12   1.0027509151e+00  9.9724908494e-01   1.1826015167e-01
28   8.2544460523e-04   6.3951680064e+02   1.0660049432e+04  0.0000000000e+00  -4.2091781262e+03   -3.9562960194e-12   1.0027064753e+00  9.9729352466e-01   1.1191754307e-01
29   1.5898530774e-04   6.3951680064e+02   1.0661847649e+04  0.0000000000e+00  -4.2110853011e+03   -3.5075615342e-12   1.0026744953e+00  9.9732550471e-01   1.0895818485e-01
30   4.1996067139e-04   6.3951680064e+02   1.0662974143e+04  0.0000000000e+00  -4.2123196534e+03   -3.1027400520e-12   1.0026572481e+00  9.9734275188e-01   1.0785853592e-01
31   9.3087165515e-04   6.3951680064e+02   1.0663646711e+04  0.0000000000e+00  -4.2131001767e+03   -2.7876102261e-12   1.0026556261e+00  9.9734437386e-01   1.0795511083e-01
32   1.3884354582e-03   6.3951680064e+02   1.0664038312e+04  0.0000000000e+00  -4.2136006159e+03   -2.4983642251e-12   1.0026696067e+00  9.9733039330e-01   1.0883835336e-01
33   1.8035466685e-03   6.3951680064e+02   1.0664266018e+04  0.0000000000e+00  -4.2139385407e+03   -2.2639047625e-12   1.0026985760e+00  9.9730142398e-01   1.1021836880e-01
