#iter   OP_diff   mu  QuantEnergy.real  .imag  ClassEnergy.real  .imag  Total_n_up    Total_n_dn   Energy_diff
0   0.296462   5.0724991517e+01   4.3595554478e+02  0.0000000000e+00  4.6917325829e+02   1.2191423559e-06   1.4855465402e+00  1.5144534598e+00   9.0512880307e+02
1   3.2253040408e-01   5.3286850079e+01   5.0874170368e+02  0.0000000000e+00  -8.6506416032e+00   4.6453681396e-07   1.4761385494e+00  1.5238614506e+00   4.0503774099e+02
2   1.5975434406e-01   3.4831357062e+01   3.4053782487e+02  0.0000000000e+00  -5.4919355006e+01   9.3522262985e-09   1.4666963369e+00  1.5333036631e+00   2.1447259221e+02
3   2.3379647925e-01   4.8690860983e+01   4.8330344621e+02  0.0000000000e+00  -1.0741843048e+02   1.4538438120e-07   1.4654684048e+00  1.5345315952e+00   9.0266545860e+01
4   2.2086472937e-01   5.3012714807e+01   5.1875640058e+02  0.0000000000e+00  -1.3786644580e+02   1.5694980601e-07   1.4660168436e+00  1.5339831564e+00   5.0049390565e+00
5   1.9747060133e-01   5.3012714807e+01   5.3266168363e+02  0.0000000000e+00  -1.6028617952e+02   1.3753678534e-07   1.4674275935e+00  1.5325724065e+00   8.5144506775e+00
6   1.7356269332e-01   5.3012714807e+01   5.3935102568e+02  0.0000000000e+00  -1.7542756770e+02   1.1454711134e-07   1.4689847272e+00  1.5310152728e+00   8.4520461285e+00
7   1.5220059253e-01   5.3012714807e+01   5.4304325741e+02  0.0000000000e+00  -1.8559672662e+02   9.4702054838e-08   1.4703851855e+00  1.5296148145e+00   6.4769271881e+00
8   1.3405034784e-01   5.3012714807e+01   5.4531043288e+02  0.0000000000e+00  -1.9258223722e+02   7.8911443499e-08   1.4715422329e+00  1.5284577671e+00   4.7183351325e+00
9   1.1892982365e-01   5.3012714807e+01   5.4682606312e+02  0.0000000000e+00  -1.9752908276e+02   6.6621229465e-08   1.4724570891e+00  1.5275429109e+00   3.4312152946e+00
10   1.0640025433e-01   5.3012714807e+01   5.4790911585e+02  0.0000000000e+00  -2.0114178852e+02   5.7057640932e-08   1.4731604851e+00  1.5268395149e+00   2.5296530282e+00
11   9.5994540153e-02   5.3012714807e+01   5.4872361257e+02  0.0000000000e+00  -2.0385610965e+02   4.9549524195e-08   1.4736890127e+00  1.5263109873e+00   1.8998244161e+00
12   8.7298046321e-02   5.3012714807e+01   5.4936027938e+02  0.0000000000e+00  -2.0594736386e+02   4.3580307231e-08   1.4740765971e+00  1.5259234029e+00   1.4545873999e+00
13   7.9968894116e-02   5.3012714807e+01   5.4987273347e+02  0.0000000000e+00  -2.0759424249e+02   3.8768304079e-08   1.4743520869e+00  1.5256479131e+00   1.1344245350e+00
14   7.3734782560e-02   5.3012714807e+01   5.5029460064e+02  0.0000000000e+00  -2.0891601034e+02   3.4834862002e-08   1.4745391350e+00  1.5254608650e+00   8.9990068541e-01
15   6.8382227781e-02   5.3012714807e+01   5.5064809307e+02  0.0000000000e+00  -2.0999444224e+02   3.1576396695e-08   1.4746568228e+00  1.5253431772e+00   7.2493946372e-01
16   6.3744756890e-02   5.3012714807e+01   5.5094854543e+02  0.0000000000e+00  -2.1088702776e+02   2.8843143715e-08   1.4747204348e+00  1.5252795652e+00   5.9213316439e-01
17   5.9692449009e-02   5.3012714807e+01   5.5120694008e+02  0.0000000000e+00  -2.1163511451e+02   2.6523839589e-08   1.4747421783e+00  1.5252578217e+00   4.8969210206e-01
18   5.6123440940e-02   5.3012714807e+01   5.5143138334e+02  0.0000000000e+00  -2.1226905760e+02   2.4534890721e-08   1.4747317911e+00  1.5252682089e+00   4.0949983175e-01
19   5.2957315391e-02   5.3012714807e+01   5.5162800882e+02  0.0000000000e+00  -2.1281155708e+02   2.2812750748e-08   1.4746970356e+00  1.5253029644e+00   3.4587399375e-01
20   5.0130064144e-02   5.3012714807e+01   5.5180155362e+02  0.0000000000e+00  -2.1327987202e+02   2.1308541697e-08   1.4746440952e+00  1.5253559048e+00   2.9477014072e-01
21   4.7590288990e-02   5.3012714807e+01   5.5195573969e+02  0.0000000000e+00  -2.1368732182e+02   1.9984233209e-08   1.4745778892e+00  1.5254221108e+00   2.5326372934e-01
22   3.8948055945e-02   5.3012714807e+01   5.5282105051e+02  0.0000000000e+00  -2.1541484602e+02   1.4424175558e-08   1.4742646879e+00  1.5257353121e+00   8.6221338946e-01
23   2.3646393195e-02   5.3012714807e+01   5.4841362889e+02  0.0000000000e+00  -2.1199052378e+02   6.4646943241e-09   1.4737425005e+00  1.5262574995e+00   9.8309937530e-01
24   1.9442880195e-02   5.3012714807e+01   5.5001493453e+02  0.0000000000e+00  -2.1374026388e+02   5.0252556156e-09   1.4732851103e+00  1.5267148897e+00   1.4843445975e-01
25   1.7020627990e-02   5.3012714807e+01   5.5167060690e+02  0.0000000000e+00  -2.1546715466e+02   4.3514557473e-09   1.4729297825e+00  1.5270702175e+00   7.1218402647e-02
26   1.4893646797e-02   5.3012714807e+01   5.5276779830e+02  0.0000000000e+00  -2.1662518868e+02   3.7579654164e-09   1.4726535767e+00  1.5273464233e+00   6.0842624957e-02
27   1.2911997492e-02   5.3012714807e+01   5.5341722595e+02  0.0000000000e+00  -2.1732837547e+02   3.1949048455e-09   1.4724441600e+00  1.5275558400e+00   5.3759138040e-02
28   1.1132291328e-02   5.3012714807e+01   5.5378543973e+02  0.0000000000e+00  -2.1774181857e+02   2.6917951470e-09   1.4722928568e+00  1.5277071432e+00   4.5229320771e-02
29   9.5962095974e-03   5.3012714807e+01   5.5399123095e+02  0.0000000000e+00  -2.1798439465e+02   2.2663132159e-09   1.4721917890e+00  1.5278082110e+00   3.6784861941e-02
30   8.3064301650e-03   5.3012714807e+01   5.5410662077e+02  0.0000000000e+00  -2.1812925535e+02   1.9191275723e-09   1.4721332775e+00  1.5278667225e+00   2.9470870495e-02
