#k_sublattice  row_val   col_val  value.real  value.imag
0  0  0  0.558766  0
0  0  1  0.590241  -0.195764
0  0  2  0.361303  -0.559796
0  0  3  0.11258  -0.166136
0  1  0  0.590241  0.195764
0  1  1  0.346369  0
0  1  2  0.422657  -0.737244
0  1  3  0.568121  -0.591296
0  2  0  0.361303  0.559796
0  2  1  0.422657  0.737244
0  2  2  0.704725  0
0  2  3  0.261073  -0.913074
0  3  0  0.11258  0.166136
0  3  1  0.568121  0.591296
0  3  2  0.261073  0.913074
0  3  3  0.0204366  0
1  0  0  0.284565  0
1  0  1  0.978371  -0.792495
1  0  2  0.214457  -0.380645
1  0  3  0.348634  -0.255099
1  1  0  0.978371  0.792495
1  1  1  0.493559  0
1  1  2  0.0775977  -0.0317347
1  1  3  0.652277  -0.364245
1  2  0  0.214457  0.380645
1  2  1  0.0775977  0.0317347
1  2  2  0.8144  0
1  2  3  0.0302085  -0.54438
1  3  0  0.348634  0.255099
1  3  1  0.652277  0.364245
1  3  2  0.0302085  0.54438
1  3  3  0.632859  0
2  0  0  0.24964  0
2  0  1  0.639734  -0.454054
2  0  2  0.0924724  -0.743766
2  0  3  0.651198  -0.638171
2  1  0  0.639734  0.454054
2  1  1  0.889047  0
2  1  2  0.43288  -0.898397
2  1  3  0.394326  -0.64518
2  2  0  0.0924724  0.743766
2  2  1  0.43288  0.898397
2  2  2  0.970853  0
2  2  3  0.936269  -0.582887
2  3  0  0.651198  0.638171
2  3  1  0.394326  0.64518
2  3  2  0.936269  0.582887
2  3  3  0.61023  0
3  0  0  0.783257  0
3  0  1  0.332647  -0.988823
3  0  2  0.911389  -0.0977476
3  0  3  0.459787  -0.502836
3  1  0  0.332647  0.988823
3  1  1  0.863671  0
3  1  2  0.100594  -0.45507
3  1  3  0.957878  -0.43191
3  2  0  0.911389  0.0977476
3  2  1  0.100594  0.45507
3  2  2  0.408736  0
3  2  3  0.769261  -0.899035
3  3  0  0.459787  0.502836
3  3  1  0.957878  0.43191
3  3  2  0.769261  0.899035
3  3  3  0.182428  0
4  0  0  0.480032  0
4  0  1  0.39837  -0.775435
4  0  2  0.989832  -0.424554
4  0  3  0.179491  -0.264887
4  1  0  0.39837  0.775435
4  1  1  0.578469  0
4  1  2  0.327502  -0.888083
4  1  3  0.593998  -0.624981
4  2  0  0.989832  0.424554
4  2  1  0.327502  0.888083
4  2  2  0.117124  0
4  2  3  0.486334  -0.192824
4  3  0  0.179491  0.264887
4  3  1  0.593998  0.624981
4  3  2  0.486334  0.192824
4  3  3  0.509319  0
5  0  0  0.116368  0
5  0  1  0.498642  -0.533363
5  0  2  0.515091  -0.626982
5  0  3  0.872534  -0.584751
5  1  0  0.498642  0.533363
5  1  1  0.853491  0
5  1  2  0.531152  -0.537953
5  1  3  0.973092  -0.985125
5  2  0  0.515091  0.626982
5  2  1  0.531152  0.537953
5  2  2  0.31004  0
5  2  3  0.314307  -0.729562
5  3  0  0.872534  0.584751
5  3  1  0.973092  0.985125
5  3  2  0.314307  0.729562
5  3  3  0.62021  0
6  0  0  0.382703  0
6  0  1  0.871278  -0.618724
6  0  2  0.120531  -0.0158544
6  0  3  0.311362  -0.513521
6  1  0  0.871278  0.618724
6  1  1  0.0561514  0
6  1  2  0.795931  -0.0889215
6  1  3  0.0615442  -0.495984
6  2  0  0.120531  0.0158544
6  2  1  0.795931  0.0889215
6  2  2  0.0399473  0
6  2  3  0.354718  -0.471906
6  3  0  0.311362  0.513521
6  3  1  0.0615442  0.495984
6  3  2  0.354718  0.471906
6  3  3  0.581719  0
7  0  0  0.276258  0
7  0  1  0.00690418  -0.432614
7  0  2  0.987596  -0.0263429
7  0  3  0.499722  -0.992292
7  1  0  0.00690418  0.432614
7  1  1  0.727988  0
7  1  2  0.88738  -0.0155099
7  1  3  0.509502  -0.98984
7  2  0  0.987596  0.0263429
7  2  1  0.88738  0.0155099
7  2  2  0.727825  0
7  2  3  0.248755  -0.239132
7  3  0  0.499722  0.992292
7  3  1  0.509502  0.98984
7  3  2  0.248755  0.239132
7  3  3  0.76875  0
8  0  0  0.627195  0
8  0  1  0.0419621  -0.847052
8  0  2  0.159527  -0.411002
8  0  3  0.213927  -0.111868
8  1  0  0.0419621  0.847052
8  1  1  0.13204  0
8  1  2  0.229921  -0.48914
8  1  3  0.719017  -0.0634216
8  2  0  0.159527  0.411002
8  2  1  0.229921  0.48914
8  2  2  0.873433  0
8  2  3  0.348809  -0.0319904
8  3  0  0.213927  0.111868
8  3  1  0.719017  0.0634216
8  3  2  0.348809  0.0319904
8  3  3  0.031235  0
