#k_sublattice  row_val   col_val  value.real  value.imag
0  0  0  4.62716e-15  0
0  0  1  1.10685e-20  -1.13161e-21
0  0  2  1.16032e-13  1.64354e-22
0  0  3  4.11203e-08  -4.47187e-08
0  0  4  -2.49088e-15  3.07895e-15
0  0  5  2.0654e-08  -2.24614e-08
0  1  0  1.10685e-20  1.13161e-21
0  1  1  2.67543e-26  0
0  1  2  2.77557e-19  2.83768e-20
0  1  3  1.09294e-13  -9.69111e-14
0  1  4  -6.71104e-21  6.75569e-21
0  1  5  5.48965e-14  -4.86766e-14
0  2  0  1.16032e-13  -1.64354e-22
0  2  1  2.77557e-19  -2.83768e-20
0  2  2  2.90968e-12  0
0  2  3  1.03115e-06  -1.12138e-06
0  2  4  -6.24622e-14  7.72089e-14
0  2  5  5.17927e-07  -5.6325e-07
0  3  0  4.11203e-08  4.47187e-08
0  3  1  1.09294e-13  9.69111e-14
0  3  2  1.03115e-06  1.12138e-06
0  3  3  0.798539  0
0  3  4  -5.19527e-08  3.29285e-09
0  3  5  0.401091  -6.19731e-10
0  4  0  -2.49088e-15  -3.07895e-15
0  4  1  -6.71104e-21  -6.75569e-21
0  4  2  -6.24622e-14  -7.72089e-14
0  4  3  -5.19527e-08  -3.29285e-09
0  4  4  3.39361e-15  0
0  4  5  -2.60949e-08  -1.65393e-09
0  5  0  2.0654e-08  2.24614e-08
0  5  1  5.48965e-14  4.86766e-14
0  5  2  5.17927e-07  5.6325e-07
0  5  3  0.401091  6.19731e-10
0  5  4  -2.60949e-08  1.65393e-09
0  5  5  0.201461  0
1  0  0  2.06574e-12  0
1  0  1  2.24176e-13  1.88024e-12
1  0  2  3.78107e-13  7.05302e-13
1  0  3  8.26526e-07  -8.65459e-07
1  0  4  6.3012e-07  4.13614e-07
1  0  5  2.33807e-07  9.14431e-08
1  1  0  2.24176e-13  -1.88024e-12
1  1  1  1.73572e-12  0
1  1  2  6.82999e-13  -2.67613e-13
1  1  3  -6.98046e-07  -8.46225e-07
1  1  4  4.44853e-07  -5.2865e-07
1  1  5  1.08605e-07  -2.02887e-07
1  2  0  3.78107e-13  -7.05302e-13
1  2  1  6.82999e-13  2.67613e-13
1  2  2  3.10018e-13  0
1  2  3  -1.44207e-07  -4.40611e-07
1  2  4  2.56555e-07  -1.39434e-07
1  2  5  7.40166e-08  -6.30907e-08
1  3  0  8.26526e-07  8.65459e-07
1  3  1  -6.98046e-07  8.46225e-07
1  3  2  -1.44207e-07  4.40611e-07
1  3  3  0.694107  0
1  3  4  0.0789236  0.429989
1  3  5  0.0553026  0.1347
1  4  0  6.3012e-07  -4.13614e-07
1  4  1  4.44853e-07  5.2865e-07
1  4  2  2.56555e-07  1.39434e-07
1  4  3  0.0789236  -0.429989
1  4  4  0.275346  0
1  4  5  0.0897332  -0.018943
1  5  0  2.33807e-07  -9.14431e-08
1  5  1  1.08605e-07  2.02887e-07
1  5  2  7.40166e-08  6.30907e-08
1  5  3  0.0553026  -0.1347
1  5  4  0.0897332  0.018943
1  5  5  0.0305466  0
2  0  0  2.06574e-12  0
2  0  1  5.11352e-14  1.89286e-12
2  0  2  -1.91469e-13  7.77017e-13
2  0  3  7.93249e-07  -8.96059e-07
2  0  4  5.46098e-07  5.19524e-07
2  0  5  1.63093e-07  1.90861e-07
2  1  0  5.11352e-14  -1.89286e-12
2  1  1  1.73572e-12  0
2  1  2  7.07251e-13  1.9468e-13
2  1  3  -8.01434e-07  -7.49045e-07
2  1  4  4.89564e-07  -4.87536e-07
2  1  5  1.78926e-07  -1.4472e-07
2  2  0  -1.91469e-13  -7.77017e-13
2  2  1  7.07251e-13  -1.9468e-13
2  2  2  3.10018e-13  0
2  2  3  -4.10573e-07  -2.15323e-07
2  2  4  1.448e-07  -2.53566e-07
2  2  5  5.66747e-08  -7.90372e-08
2  3  0  7.93249e-07  8.96059e-07
2  3  1  -8.01434e-07  7.49045e-07
2  3  2  -4.10573e-07  2.15323e-07
2  3  3  0.694107  0
2  3  4  -0.01567  0.436892
2  3  5  -0.0201857  0.144205
2  4  0  5.46098e-07  -5.19524e-07
2  4  1  4.89564e-07  4.87536e-07
2  4  2  1.448e-07  2.53566e-07
2  4  3  -0.01567  -0.436892
2  4  4  0.275346  0
2  4  5  0.0912227  0.0094499
2  5  0  1.63093e-07  -1.90861e-07
2  5  1  1.78926e-07  1.4472e-07
2  5  2  5.66747e-08  7.90372e-08
2  5  3  -0.0201857  -0.144205
2  5  4  0.0912227  -0.0094499
2  5  5  0.0305466  0
3  0  0  2.06574e-12  0
3  0  1  1.84517e-12  -4.25324e-13
3  0  2  -5.29947e-13  5.99643e-13
3  0  3  1.08054e-06  -5.14388e-07
3  0  4  6.52497e-07  -3.77327e-07
3  0  5  6.42902e-09  -2.5097e-07
3  1  0  1.84517e-12  4.25324e-13
3  1  1  1.73572e-12  0
3  1  2  -5.96824e-13  4.26502e-13
3  1  3  1.07108e-06  -2.36986e-07
3  1  4  6.60515e-07  -2.02692e-07
3  1  5  5.74159e-08  -2.22849e-07
