#k_sublattice  row_val   col_val  value.real  value.imag
0  0  0  2.34974e-12  0
0  0  1  7.18176e-13  2.22605e-11
0  0  2  7.41202e-12  2.00723e-11
0  0  3  1.03017e-11  -1.2813e-12
0  0  4  1.00189e-11  -2.64558e-11
0  0  5  1.1908e-12  -9.32137e-13
0  0  6  -1.29208e-11  -8.83537e-12
0  0  7  3.88462e-12  5.13076e-12
0  0  8  -1.05263e-11  -1.1439e-11
0  0  9  -2.69821e-14  -9.91112e-13
0  0  10  6.25535e-12  -6.84263e-12
0  0  11  1.07227e-12  -6.22252e-12
0  0  12  -1.50516e-12  9.0369e-13
0  0  13  -3.26451e-12  8.31041e-12
0  0  14  -4.98075e-13  -1.92309e-12
0  0  15  3.20944e-12  8.32692e-12
0  0  16  1.79192e-12  3.05859e-13
0  0  17  5.30778e-12  8.38486e-12
0  0  18  1.12832e-13  1.52244e-12
0  0  19  8.71804e-12  -2.69682e-12
0  0  20  5.40867e-12  -7.42027e-12
0  0  21  3.79566e-12  1.43512e-12
0  0  22  1.37427e-12  -1.15415e-11
0  0  23  3.94141e-14  2.80269e-13
0  0  24  -5.9347e-12  -1.93733e-12
0  0  25  1.12608e-12  1.32547e-12
0  0  26  -3.70156e-12  -5.85e-12
0  0  27  1.68297e-09  -6.32271e-09
0  0  28  6.36018e-07  -8.35792e-08
0  0  29  5.4491e-07  -1.33935e-07
0  0  30  5.25384e-08  -6.63539e-07
0  0  31  -3.42493e-07  4.15055e-07
0  0  32  9.91498e-11  4.40717e-10
0  0  33  -7.47359e-07  -3.16863e-07
0  0  34  -1.1481e-09  9.9627e-10
0  0  35  -1.42564e-07  2.74177e-07
0  0  36  -1.38924e-17  2.465e-16
0  0  37  -3.0159e-08  2.84881e-08
0  0  38  1.8089e-08  -3.14486e-08
0  0  39  4.26776e-08  5.62911e-09
0  0  40  2.79594e-08  2.07215e-08
0  0  41  -1.17946e-14  -1.21357e-14
0  0  42  -2.88472e-08  4.38455e-08
0  0  43  4.21342e-14  -3.6284e-14
0  0  44  -1.90878e-08  -5.88501e-09
0  0  45  -1.69197e-13  1.69793e-13
0  0  46  -4.42667e-08  -1.38302e-07
0  0  47  -9.78585e-08  -8.09664e-08
0  0  48  5.34221e-08  1.40888e-07
0  0  49  1.10243e-07  -5.18218e-08
0  0  50  5.4036e-11  -8.51822e-11
0  0  51  1.36867e-07  -1.22588e-07
0  0  52  2.56379e-10  -2.22476e-10
0  0  53  6.98861e-08  2.79859e-09
0  1  0  7.18176e-13  -2.22605e-11
0  1  1  1.36081e-09  0
0  1  2  -2.66748e-10  -4.27582e-11
0  1  3  -1.78171e-10  -8.86379e-12
0  1  4  2.30729e-10  -6.2928e-11
0  1  5  -4.05738e-10  1.99433e-10
0  1  6  1.86795e-11  2.27114e-10
0  1  7  -2.83095e-11  -1.10739e-10
0  1  8  1.4192e-10  2.38227e-11
0  1  9  7.93509e-11  9.63509e-12
0  1  10  -4.12558e-10  -3.4681e-10
0  1  11  -1.43702e-11  1.03931e-10
0  1  12  7.23572e-11  -2.05411e-11
0  1  13  -3.59238e-11  -6.92419e-11
0  1  14  -2.5302e-11  6.71083e-11
0  1  15  -7.03489e-11  -3.31982e-11
0  1  16  -3.60679e-11  -3.89982e-11
0  1  17  8.74747e-11  7.84046e-12
0  1  18  -1.14932e-10  1.68676e-10
0  1  19  -1.5939e-10  -5.19775e-10
0  1  20  4.50153e-11  9.33188e-11
0  1  21  -7.06848e-11  -1.29563e-11
0  1  22  8.76536e-11  -4.41389e-11
0  1  23  -7.67809e-11  5.42879e-11
0  1  24  6.75712e-11  1.27248e-10
0  1  25  -3.15607e-12  -2.97571e-11
0  1  26  4.27975e-11  3.39748e-11
0  1  27  -8.88709e-07  -2.39005e-09
0  1  28  1.64004e-09  -4.15193e-09
0  1  29  -2.44297e-06  -1.78869e-06
0  1  30  -3.35423e-05  -7.66249e-06
0  1  31  -1.68262e-06  -4.17237e-06
0  1  32  -1.99621e-06  -2.91265e-06
0  1  33  -6.41166e-07  -1.99003e-06
0  1  34  5.01691e-06  1.8158e-06
0  1  35  3.48621e-06  -3.6585e-06
0  1  36  4.02303e-15  -1.32438e-16
0  1  37  7.14465e-11  2.79727e-10
0  1  38  -1.92745e-07  3.42393e-08
0  1  39  6.07909e-07  -2.14051e-06
0  1  40  -2.63801e-07  1.22723e-07
0  1  41  1.17818e-10  5.34113e-11
0  1  42  -1.34025e-07  1.76261e-08
0  1  43  -1.8355e-10  -6.72197e-11
0  1  44  2.73072e-07  1.79243e-07
0  1  45  2.8146e-11  1.63502e-11
0  1  46  -9.90982e-10  -1.97879e-10
0  1  47  4.50236e-09  6.85324e-07
0  1  48  7.60619e-06  -1.67582e-06
0  1  49  -5.91857e-08  1.0167e-06
0  1  50  -1.45633e-07  7.74951e-07
0  1  51  4.69392e-07  6.02635e-08
0  1  52  -1.12032e-06  -4.05481e-07
0  1  53  -1.08505e-06  -3.61762e-07
0  2  0  7.41202e-12  -2.00723e-11
0  2  1  -2.66748e-10  4.27582e-11
0  2  2  1.36002e-09  0
0  2  3  -1.02119e-10  3.27542e-10
0  2  4  -1.73917e-10  -1.85065e-11
0  2  5  1.64721e-10  -2.53964e-10
0  2  6  1.52259e-10  4.59444e-11
0  2  7  1.67008e-10  1.18591e-10
0  2  8  -1.41647e-10  -8.46087e-11
0  2  9  -7.43991e-11  -1.80275e-11
0  2  10  1.40994e-10  -2.5107e-11
0  2  11  -2.74714e-10  -4.52715e-10
0  2  12  -6.05983e-11  -7.25518e-11
0  2  13  7.84285e-11  3.27679e-11
0  2  14  -4.7876e-11  -1.6094e-11
0  2  15  8.91371e-11  1.78575e-11
0  2  16  7.74893e-11  -9.1852e-11
0  2  17  1.19159e-11  3.65352e-11
0  2  18  7.41348e-11  1.97615e-10
0  2  19  3.56628e-11  9.04867e-11
0  2  20  -2.66279e-10  -4.70044e-10
0  2  21  -6.00479e-11  1.18758e-10
0  2  22  -6.61822e-11  -1.27453e-12
0  2  23  4.89835e-11  -5.65028e-11
0  2  24  5.71147e-11  -1.18355e-11
0  2  25  5.72438e-11  2.76365e-11
