#k_sublattice  row_val   col_val  value.real  value.imag
0  0  0  0.999423  0
0  0  1  -0.011994  -0.0207705
0  0  2  -0.000576885  0.000998706
0  0  3  0  0
0  0  4  0  0
0  0  5  0  0
0  1  0  -0.011994  0.0207705
0  1  1  0.000575618  0
0  1  2  -1.38317e-05  -2.39852e-05
0  1  3  0  0
0  1  4  0  0
0  1  5  0  0
0  2  0  -0.000576885  -0.000998706
0  2  1  -1.38317e-05  2.39852e-05
0  2  2  1.33955e-06  0
0  2  3  0  0
0  2  4  0  0
0  2  5  0  0
0  3  0  0  0
0  3  1  0  0
0  3  2  0  0
0  3  3  0.999423  0
0  3  4  0.011995  -0.0207706
0  3  5  -0.000577902  -0.00100125
0  4  0  0  0
0  4  1  0  0
0  4  2  0  0
0  4  3  0.011995  0.0207706
0  4  4  0.000575618  0
0  4  5  1.38825e-05  -2.40381e-05
0  5  0  0  0
0  5  1  0  0
0  5  2  0  0
0  5  3  -0.000577902  0.00100125
0  5  4  1.38825e-05  2.40381e-05
0  5  5  1.33955e-06  0
1  0  0  0.988202  0
1  0  1  0.0443349  0.0898581
1  0  2  0.0213253  0.0341166
1  0  3  0  0
1  0  4  0  0
1  0  5  0  0
1  1  0  0.0443349  -0.0898581
1  1  1  0.01016  0
1  1  2  0.00405899  -0.000408528
1  1  3  0  0
1  1  4  0  0
1  1  5  0  0
1  2  0  0.0213253  -0.0341166
1  2  1  0.00405899  0.000408528
1  2  2  0.00163804  0
1  2  3  0  0
1  2  4  0  0
1  2  5  0  0
1  3  0  0  0
1  3  1  0  0
1  3  2  0  0
1  3  3  0.988202  0
1  3  4  0.0942132  0.0341172
1  3  5  -0.00426009  0.040007
1  4  0  0  0
1  4  1  0  0
1  4  2  0  0
1  4  3  0.0942132  -0.0341172
1  4  4  0.01016  0
1  4  5  0.000975081  0.00396126
1  5  0  0  0
1  5  1  0  0
1  5  2  0  0
1  5  3  -0.00426009  -0.040007
1  5  4  0.000975081  -0.00396126
1  5  5  0.00163804  0
2  0  0  0.997653  0
2  0  1  0.00199399  -0.00152343
2  0  2  0.00657354  0.0478792
2  0  3  0  0
2  0  4  0  0
2  0  5  0  0
2  1  0  0.00199399  0.00152343
2  1  1  0.997317  0
2  1  2  0.0254886  -0.044936
2  1  3  0  0
2  1  4  0  0
2  1  5  0  0
2  2  0  0.00657354  -0.0478792
2  2  1  0.0254886  0.044936
2  2  2  0.00502984  0
2  2  3  0  0
2  2  4  0  0
2  2  5  0  0
2  3  0  0  0
2  3  1  0  0
2  3  2  0  0
2  3  3  0.997653  0
2  3  4  0.00145793  0.0020423
2  3  5  0.0164438  0.0454454
2  4  0  0  0
2  4  1  0  0
2  4  2  0  0
2  4  3  0.00145793  -0.0020423
2  4  4  0.997317  0
2  4  5  -0.0497507  -0.0139176
2  5  0  0  0
2  5  1  0  0
2  5  2  0  0
2  5  3  0.0164438  -0.0454454
2  5  4  -0.0497507  0.0139176
2  5  5  0.00502984  0
3  0  0  0.984738  0
3  0  1  -0.100501  0.0386053
3  0  2  0.0381505  0.0445295
3  0  3  0  0
3  0  4  0  0
3  0  5  0  0
3  1  0  -0.100501  -0.0386053
3  1  1  0.0117704  0
3  1  2  -0.00214787  -0.00604028
3  1  3  0  0
3  1  4  0  0
3  1  5  0  0
3  2  0  0.0381505  -0.0445295
3  2  1  -0.00214787  0.00604028
3  2  2  0.00349167  0
3  2  3  0  0
3  2  4  0  0
3  2  5  0  0
3  3  0  0  0
3  3  1  0  0
3  3  2  0  0
3  3  3  0.984738  0
3  3  4  -0.105839  -0.0197143
3  3  5  0.0501922  0.0303173
3  4  0  0  0
3  4  1  0  0
3  4  2  0  0
3  4  3  -0.105839  0.0197143
3  4  4  0.0117704  0
3  4  5  -0.00600157  -0.00225367
3  5  0  0  0
3  5  1  0  0
3  5  2  0  0
3  5  3  0.0501922  -0.0303173
3  5  4  -0.00600157  0.00225367
3  5  5  0.00349167  0
4  0  0  0.984738  0
4  0  1  -0.00956487  -0.107236
4  0  2  -0.00963233  0.0578412
4  0  3  0  0
4  0  4  0  0
4  0  5  0  0
4  1  0  -0.00956487  0.107236
4  1  1  0.0117705  0
4  1  2  -0.0062052  -0.00161077
4  1  3  0  0
4  1  4  0  0
4  1  5  0  0
4  2  0  -0.00963233  -0.0578412
4  2  1  -0.0062052  0.00161077
4  2  2  0.00349176  0
4  2  3  0  0
4  2  4  0  0
4  2  5  0  0
4  3  0  0  0
4  3  1  0  0
4  3  2  0  0
4  3  3  0.984738  0
4  3  4  0.0964615  -0.0478104
4  3  5  0.0435557  -0.0392613
4  4  0  0  0
4  4  1  0  0
4  4  2  0  0
4  4  3  0.0964615  0.0478104
4  4  4  0.0117705  0
4  4  5  0.00617276  -0.00173121
4  5  0  0  0
4  5  1  0  0
4  5  2  0  0
4  5  3  0.0435557  0.0392613
4  5  4  0.00617276  0.00173121
4  5  5  0.00349176  0
5  0  0  0.986514  0
5  0  1  -0.0331114  0.0959042
5  0  2  0.00762339  -0.054328
5  0  3  0  0
5  0  4  0  0
5  0  5  0  0
5  1  0  -0.0331114  -0.0959042
5  1  1  0.0104352  0
5  1  2  -0.00553737  0.00108235
5  1  3  0  0
5  1  4  0  0
5  1  5  0  0
5  2  0  0.00762339  0.054328
5  2  1  -0.00553737  -0.00108235
5  2  2  0.00305077  0
5  2  3  0  0
5  2  4  0  0
5  2  5  0  0
5  3  0  0  0
5  3  1  0  0
5  3  2  0  0
5  3  3  0.986514  0
5  3  4  0.0990915  0.0218146
5  3  5  0.0498843  0.0228284
5  4  0  0  0
5  4  1  0  0
5  4  2  0  0
5  4  3  0.0990915  -0.0218146
5  4  4  0.0104352  0
5  4  5  0.0055155  0.00118993
5  5  0  0  0
5  5  1  0  0
5  5  2  0  0
5  5  3  0.0498843  -0.0228284
5  5  4  0.0055155  -0.00118993
5  5  5  0.00305077  0
6  0  0  0.999745  0
6  0  1  0.000746307  -8.00024e-05
6  0  2  -0.000592415  -0.0159239
6  0  3  0  0
6  0  4  0  0
6  0  5  0  0
6  1  0  0.000746307  8.00024e-05
6  1  1  0.997787  0
6  1  2  -0.00326703  0.0468727
6  1  3  0  0
6  1  4  0  0
6  1  5  0  0
6  2  0  -0.000592415  0.0159239
6  2  1  -0.00326703  -0.0468727
6  2  2  0.00246783  0
6  2  3  0  0
6  2  4  0  0
6  2  5  0  0
6  3  0  0  0
6  3  1  0  0
6  3  2  0  0
6  3  3  0.999745  0
6  3  4  -1.72756e-05  0.000750385
6  3  5  -0.00257565  -0.0157251
6  4  0  0  0
6  4  1  0  0
6  4  2  0  0
6  4  3  -1.72756e-05  -0.000750385
6  4  4  0.997787  0
6  4  5  0.0461831  -0.00866143
6  5  0  0  0
6  5  1  0  0
6  5  2  0  0
6  5  3  -0.00257565  0.0157251
6  5  4  0.0461831  0.00866143
6  5  5  0.00246783  0
7  0  0  0.999742  0
7  0  1  -0.00130127  -8.03903e-08
7  0  2  -0.0160113  -1.00621e-06
7  0  3  0  0
7  0  4  0  0
7  0  5  0  0
7  1  0  -0.00130127  8.03903e-08
7  1  1  0.99344  0
7  1  2  -0.0807181  -8.14016e-07
7  1  3  0  0
7  1  4  0  0
7  1  5  0  0
7  2  0  -0.0160113  1.00621e-06
7  2  1  -0.0807181  8.14016e-07
7  2  2  0.00681819  0
7  2  3  0  0
7  2  4  0  0
7  2  5  0  0
7  3  0  0  0
7  3  1  0  0
7  3  2  0  0
7  3  3  0.999742  0
7  3  4  -0.000866397  -0.000971061
7  3  5  0.0122465  -0.0103169
7  4  0  0  0
7  4  1  0  0
7  4  2  0  0
7  4  3  -0.000866397  0.000971061
7  4  4  0.99344  0
7  4  5  0.00229338  -0.0806842
7  5  0  0  0
7  5  1  0  0
7  5  2  0  0
7  5  3  0.0122465  0.0103169
7  5  4  0.00229338  0.0806842
7  5  5  0.00681819  0
8  0  0  0.997653  0
8  0  1  -0.00180293  0.0017454
8  0  2  -0.0480605  0.00508181
8  0  3  0  0
8  0  4  0  0
8  0  5  0  0
8  1  0  -0.00180293  -0.0017454
8  1  1  0.997317  0
8  1  2  -0.0406909  -0.0318317
8  1  3  0  0
8  1  4  0  0
8  1  5  0  0
8  2  0  -0.0480605  -0.00508181
8  2  1  -0.0406909  0.0318317
8  2  2  0.00503007  0
8  2  3  0  0
8  2  4  0  0
8  2  5  0  0
8  3  0  0  0
8  3  1  0  0
8  3  2  0  0
8  3  3  0.997653  0
