#k_sublattice  row_val   col_val  value.real  value.imag
0  0  0  0.960272  0
0  0  1  -0.194737  9.31274e-07
0  0  2  3.88484e-06  -3.34376e-06
0  0  3  0.0102963  0.011007
0  1  0  -0.194737  -9.31274e-07
0  1  1  0.0397282  0
0  1  2  0.0103146  0.0109913
0  1  3  3.88484e-06  -3.34376e-06
0  2  0  3.88484e-06  3.34376e-06
0  2  1  0.0103146  -0.0109913
0  2  2  0.960272  0
0  2  3  0.194737  -9.31274e-07
0  3  0  0.0102963  -0.011007
0  3  1  3.88484e-06  3.34376e-06
0  3  2  0.194737  9.31274e-07
0  3  3  0.0397281  0
1  0  0  0.884128  0
1  0  1  -0.000894659  -0.319116
1  0  2  1.6675e-05  -1.49913e-05
1  0  3  -0.0176265  0.0172946
1  1  0  -0.000894659  0.319116
1  1  1  0.115872  0
1  1  2  0.0184045  -0.0164641
1  1  3  1.60244e-05  -1.56848e-05
1  2  0  1.6675e-05  1.49913e-05
1  2  1  0.0184045  0.0164641
1  2  2  0.884128  0
1  2  3  0.0145054  0.318787
1  3  0  -0.0176265  -0.0172946
1  3  1  1.60244e-05  1.56848e-05
1  3  2  0.0145054  -0.318787
1  3  3  0.115872  0
2  0  0  0.884128  0
2  0  1  -0.000890514  0.319116
2  0  2  1.73065e-05  -1.42573e-05
2  0  3  0.0184385  -0.0164226
2  1  0  -0.000890514  -0.319116
2  1  1  0.115872  0
2  1  2  -0.0175906  0.0173343
2  1  3  1.78951e-05  -1.35103e-05
2  2  0  1.73065e-05  1.42573e-05
2  2  1  -0.0175906  -0.0173343
2  2  2  0.884128  0
2  2  3  0.0145012  -0.318787
2  3  0  0.0184385  0.0164226
2  3  1  1.78951e-05  1.35103e-05
2  3  2  0.0145012  0.318787
2  3  3  0.115872  0
3  0  0  0.884128  0
3  0  1  -0.000894659  -0.319116
3  0  2  1.6675e-05  -1.49913e-05
3  0  3  -0.0176265  0.0172946
3  1  0  -0.000894659  0.319116
3  1  1  0.115872  0
3  1  2  0.0184045  -0.0164641
3  1  3  1.60244e-05  -1.56848e-05
3  2  0  1.6675e-05  1.49913e-05
3  2  1  0.0184045  0.0164641
3  2  2  0.884128  0
3  2  3  0.0145054  0.318787
3  3  0  -0.0176265  -0.0172946
3  3  1  1.60244e-05  1.56848e-05
3  3  2  0.0145054  -0.318787
3  3  3  0.115872  0
4  0  0  0.884128  0
4  0  1  -0.000890514  0.319116
4  0  2  1.73065e-05  -1.42573e-05
4  0  3  0.0184385  -0.0164226
4  1  0  -0.000890514  -0.319116
4  1  1  0.115872  0
4  1  2  -0.0175906  0.0173343
4  1  3  1.78951e-05  -1.35103e-05
4  2  0  1.73065e-05  1.42573e-05
4  2  1  -0.0175906  -0.0173343
4  2  2  0.884128  0
4  2  3  0.0145012  -0.318787
4  3  0  0.0184385  0.0164226
4  3  1  1.78951e-05  1.35103e-05
4  3  2  0.0145012  0.318787
4  3  3  0.115872  0
5  0  0  0.518829  0
5  0  1  -0.0859902  0.490675
5  0  2  -0.00093613  -0.00111534
5  0  3  0.032265  -0.0211096
5  1  0  -0.0859902  -0.490675
5  1  1  0.481172  0
5  1  2  -0.0231638  0.0308234
5  1  3  0.00105666  0.00101159
5  2  0  -0.00093613  0.00111534
5  2  1  -0.0231638  -0.0308234
5  2  2  0.481171  0
5  2  3  0.0859902  -0.490675
5  3  0  0.032265  0.0211096
5  3  1  0.00105666  -0.00101159
5  3  2  0.0859902  0.490675
5  3  3  0.518828  0
6  0  0  0.884128  0
6  0  1  -0.000890514  0.319116
6  0  2  1.73065e-05  -1.42573e-05
6  0  3  0.0184385  -0.0164226
6  1  0  -0.000890514  -0.319116
6  1  1  0.115872  0
6  1  2  -0.0175906  0.0173343
6  1  3  1.78951e-05  -1.35103e-05
6  2  0  1.73065e-05  1.42573e-05
6  2  1  -0.0175906  -0.0173343
6  2  2  0.884128  0
6  2  3  0.0145012  -0.318787
6  3  0  0.0184385  0.0164226
6  3  1  1.78951e-05  1.35103e-05
6  3  2  0.0145012  0.318787
6  3  3  0.115872  0
7  0  0  0.518665  0
7  0  1  -0.0821211  0.491344
7  0  2  -0.000927449  -0.00110608
7  0  3  0.032098  -0.0213635
7  1  0  -0.0821211  -0.491344
7  1  1  0.481336  0
7  1  2  -0.0234063  0.0306402
7  1  3  0.00104798  0.00100233
7  2  0  -0.000927449  0.00110608
7  2  1  -0.0234063  -0.0306402
7  2  2  0.481335  0
7  2  3  0.0821211  -0.491344
7  3  0  0.032098  0.0213635
7  3  1  0.00104798  -0.00100233
7  3  2  0.0821211  0.491344
7  3  3  0.518664  0
8  0  0  0.884128  0
8  0  1  -0.000894659  -0.319116
8  0  2  1.6675e-05  -1.49913e-05
8  0  3  -0.0176265  0.0172946
8  1  0  -0.000894659  0.319116
8  1  1  0.115872  0
8  1  2  0.0184045  -0.0164641
8  1  3  1.60244e-05  -1.56848e-05
8  2  0  1.6675e-05  1.49913e-05
8  2  1  0.0184045  0.0164641
8  2  2  0.884128  0
8  2  3  0.0145054  0.318787
8  3  0  -0.0176265  -0.0172946
8  3  1  1.60244e-05  1.56848e-05
8  3  2  0.0145054  -0.318787
8  3  3  0.115872  0
