#k_sublattice  row_val   col_val  value.real  value.imag
0  0  0  0.4535  -4.45574e-18
0  0  1  0.121082  -0.00413447
0  0  2  0.139493  -0.00477317
0  0  3  0.184295  0.00632663
0  0  4  0.0590005  -0.0336815
0  0  5  0.154003  -0.0944109
0  0  6  0.167789  -0.102874
0  0  7  0.0257703  -0.0135593
0  1  0  0.121082  0.00413447
0  1  1  0.427328  -7.61239e-18
0  1  2  0.179135  9.29674e-06
0  1  3  0.130215  0.00882443
0  1  4  0.16009  -0.0837645
0  1  5  0.0594594  -0.0338658
0  1  6  0.024274  -0.0138477
0  1  7  0.154607  -0.0743638
0  2  0  0.139493  0.00477317
0  2  1  0.179135  -9.29674e-06
0  2  2  0.432619  6.27768e-19
0  2  3  0.110011  0.00745581
0  2  4  0.17444  -0.0912948
0  2  5  0.0242588  -0.0138302
0  2  6  0.0563756  -0.0320955
0  2  7  0.145511  -0.0700007
0  3  0  0.184295  -0.00632663
0  3  1  0.130215  -0.00882443
0  3  2  0.110011  -0.00745581
0  3  3  0.412691  -2.32699e-19
0  3  4  0.024695  -0.0151616
0  3  5  0.143163  -0.0947126
0  3  6  0.134732  -0.0891432
0  3  7  0.058065  -0.0329717
0  4  0  0.0590005  0.0336815
0  4  1  0.16009  0.0837645
0  4  2  0.17444  0.0912948
0  4  3  0.024695  0.0151616
0  4  4  0.39766  7.93704e-18
0  4  5  -0.02847  0.000985589
0  4  6  -0.0234273  0.000826839
0  4  7  0.160353  0.00539169
0  5  0  0.154003  0.0944109
0  5  1  0.0594594  0.0338658
0  5  2  0.0242588  0.0138302
0  5  3  0.143163  0.0947126
0  5  4  -0.02847  -0.000985589
0  5  5  0.370928  -5.90427e-19
0  5  6  0.156146  -9.29676e-06
0  5  7  -0.011451  -0.000738911
0  6  0  0.167789  0.102874
0  6  1  0.024274  0.0138477
0  6  2  0.0563756  0.0320955
0  6  3  0.134732  0.0891432
0  6  4  -0.0234273  -0.000826839
0  6  5  0.156146  9.29676e-06
0  6  6  0.379121  7.81967e-18
0  6  7  -0.0232995  -0.00155249
0  7  0  0.0257703  0.0135593
0  7  1  0.154607  0.0743638
0  7  2  0.145511  0.0700007
0  7  3  0.058065  0.0329717
0  7  4  0.160353  -0.00539169
0  7  5  -0.011451  0.000738911
0  7  6  -0.0232995  0.00155249
0  7  7  0.35745  -1.9757e-18
1  0  0  0.438925  9.85697e-18
1  0  1  0.121001  -0.0108581
1  0  2  0.135097  0.000560617
1  0  3  0.182771  0.00799724
1  0  4  0.0589358  -0.0335914
1  0  5  0.149449  -0.103067
1  0  6  0.160642  -0.0902699
1  0  7  0.0253169  -0.0131926
1  1  0  0.121001  0.0108581
1  1  1  0.438926  -2.30167e-19
1  1  2  0.182149  0.017059
1  1  3  0.133917  0.0178158
1  1  4  0.165141  -0.0754115
1  1  5  0.0589348  -0.0335923
1  1  6  0.0260712  -0.0116259
1  1  7  0.170878  -0.0689593
1  2  0  0.135097  -0.000560617
1  2  1  0.182149  -0.017059
1  2  2  0.423541  -1.99353e-18
1  2  3  0.11085  0.00418223
1  2  4  0.159919  -0.0916768
1  2  5  0.0232433  -0.0164701
1  2  6  0.0573984  -0.0326402
1  2  7  0.144672  -0.074736
1  3  0  0.182771  -0.00799724
1  3  1  0.133917  -0.0178158
1  3  2  0.11085  -0.00418223
1  3  3  0.423542  -8.65078e-18
1  3  4  0.0242016  -0.015023
1  3  5  0.146868  -0.111396
1  3  6  0.138314  -0.0859362
1  3  7  0.0573971  -0.0326413
1  4  0  0.0589358  0.0335914
1  4  1  0.165141  0.0754115
1  4  2  0.159919  0.0916768
1  4  3  0.0242016  0.015023
1  4  4  0.383063  2.74793e-18
1  4  5  -0.0287733  0.00230724
1  4  6  -0.017458  -2.69918e-05
1  4  7  0.159301  0.0070568
1  5  0  0.149449  0.103067
1  5  1  0.0589348  0.0335923
1  5  2  0.0232433  0.0164701
1  5  3  0.146868  0.111396
1  5  4  -0.0287733  -0.00230724
1  5  5  0.383062  1.13536e-17
1  5  6  0.158779  0.0146863
1  5  7  -0.0173047  -0.00229842
1  6  0  0.160642  0.0902699
1  6  1  0.0260712  0.0116259
1  6  2  0.0573984  0.0326402
1  6  3  0.138314  0.0859362
1  6  4  -0.017458  2.69918e-05
1  6  5  0.158779  -0.0146863
1  6  6  0.369015  1.34333e-18
1  6  7  -0.0237771  -0.00114752
1  7  0  0.0253169  0.0131926
1  7  1  0.170878  0.0689593
1  7  2  0.144672  0.074736
1  7  3  0.0573971  0.0326413
1  7  4  0.159301  -0.0070568
1  7  5  -0.0173047  0.00229842
1  7  6  -0.0237771  0.00114752
1  7  7  0.369013  -2.77101e-18
2  0  0  0.441662  1.00252e-17
2  0  1  0.115779  0.00047084
2  0  2  0.13937  -0.0125117
2  0  3  0.182431  0.00790313
2  0  4  0.0573498  -0.0326806
2  0  5  0.149204  -0.0838509
2  0  6  0.162356  -0.112113
2  0  7  0.0255147  -0.0132489
2  1  0  0.115779  -0.00047084
2  1  1  0.4208  2.11519e-18
2  1  2  0.181801  -0.0170884
2  1  3  0.131155  0.00498845
2  1  4  0.148526  -0.085134
2  1  5  0.0589825  -0.0335486
2  1  6  0.0234445  -0.0165705
2  1  7  0.153249  -0.0792536
2  2  0  0.13937  0.0125117
2  2  1  0.181801  0.0170884
2  2  2  0.441664  9.1734e-18
2  2  3  0.114765  0.0152883
2  2  4  0.179516  -0.0818747
2  2  5  0.0262418  -0.0117372
2  2  6  0.0573482  -0.032682
2  2  7  0.158717  -0.0640466
2  3  0  0.182431  -0.00790313
2  3  1  0.131155  -0.00498845
2  3  2  0.114765  -0.0152883
2  3  3  0.420801  1.35364e-18
2  3  4  0.0243688  -0.0151737
2  3  5  0.146597  -0.0909753
2  3  6  0.1364  -0.103457
2  3  7  0.0589808  -0.0335501
2  4  0  0.0573498  0.0326806
2  4  1  0.148526  0.085134
2  4  2  0.179516  0.0818747
2  4  3  0.0243688  0.0151737
2  4  4  0.387294  5.73776e-18
2  4  5  -0.0259152  -8.49014e-05
2  4  6  -0.0233678  0.00188056
2  4  7  0.158784  0.00694346
2  5  0  0.149204  0.0838509
2  5  1  0.0589825  0.0335486
2  5  2  0.0262418  0.0117372
